Group,Scenario,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,Value Type,Value,1st centile,5th centile,25th centile,75th centile,95th centile,99th centile
LSHTM,Forecast,2,4,2020,4,4,2020,Ayrshire and Arran,hospital_adm,20.03862660944206,4.836909871244635,9.67381974248927,15.892703862660944,24.875536480686694,35.24034334763948,47.67811158798283
LSHTM,Forecast,2,4,2020,5,4,2020,Ayrshire and Arran,hospital_adm,22.111587982832617,0,8.98283261802575,17.27467811158798,28.33047210300429,41.45922746781116,59.42489270386266
LSHTM,Forecast,2,4,2020,6,4,2020,Ayrshire and Arran,hospital_adm,24.184549356223176,0,7.600858369098712,17.9656652360515,31.78540772532189,48.36909871244635,73.99781115879838
LSHTM,Forecast,2,4,2020,7,4,2020,Ayrshire and Arran,hospital_adm,26.257510729613735,0,6.218884120171674,18.65665236051502,35.24034334763948,56.66094420600858,86.37339055793991
LSHTM,Forecast,2,4,2020,8,4,2020,Ayrshire and Arran,hospital_adm,26.948497854077253,0,3.4549356223175964,17.9656652360515,38.00429184549356,64.2618025751073,104.3390557939914
LSHTM,Forecast,2,4,2020,9,4,2020,Ayrshire and Arran,hospital_adm,28.33047210300429,0,1.3819742489270386,17.27467811158798,41.45922746781116,72.55364806866953,125.88403433476415
LSHTM,Forecast,2,4,2020,10,4,2020,Ayrshire and Arran,hospital_adm,29.02145922746781,0,0,16.583690987124463,44.223175965665234,83.60944206008584,146.67583690987158
LSHTM,Forecast,2,4,2020,11,4,2020,Ayrshire and Arran,hospital_adm,29.71244635193133,0,0,15.892703862660944,48.36909871244635,96.7381974248927,184.55575107296147
LSHTM,Forecast,2,4,2020,12,4,2020,Ayrshire and Arran,hospital_adm,29.71244635193133,0,0,14.510729613733904,51.133047210300425,110.86888412017154,214.206008583691
LSHTM,Forecast,2,4,2020,13,4,2020,Ayrshire and Arran,hospital_adm,30.40343347639485,0,0,13.128755364806867,54.587982832618025,127.83261802575107,251.83025751073012
LSHTM,Forecast,2,4,2020,14,4,2020,Ayrshire and Arran,hospital_adm,29.71244635193133,0,0,11.746781115879827,57.3519313304721,144.03626609442045,322.4353218884127
LSHTM,Forecast,2,4,2020,15,4,2020,Ayrshire and Arran,hospital_adm,29.02145922746781,0,0,10.36480686695279,61.497854077253216,165.1459227467811,381.5492703862663
LSHTM,Forecast,2,4,2020,16,4,2020,Ayrshire and Arran,hospital_adm,29.02145922746781,0,0,8.98283261802575,63.57081545064378,187.25751072961373,465.97407725321926
LSHTM,Forecast,2,4,2020,17,4,2020,Ayrshire and Arran,hospital_adm,27.63948497854077,0,0,7.600858369098712,67.02575107296137,211.75300429184534,590.9805579399144
LSHTM,Forecast,2,4,2020,4,4,2020,East of England,hospital_adm,169.05263157894737,26.701052631578953,85.6842105263158,138.3684210526316,204.3684210526316,281.3684210526316,416.96947368421013
LSHTM,Forecast,2,4,2020,5,4,2020,East of England,hospital_adm,186.42105263157896,2.8947368421052633,77,145.89473684210526,232.73684210526318,330.57894736842104,519.697894736841
LSHTM,Forecast,2,4,2020,6,4,2020,East of England,hospital_adm,203.78947368421052,0,64.26315789473685,152.8421052631579,262.8421052631579,394.8999999999997,643.7547368420951
LSHTM,Forecast,2,4,2020,7,4,2020,East of England,hospital_adm,220.57894736842107,0,50.88947368421055,157.18421052631578,293.2368421052632,463.7368421052632,760.6557894736793
LSHTM,Forecast,2,4,2020,8,4,2020,East of England,hospital_adm,239.10526315789474,0,34.73684210526316,159.21052631578948,331.15789473684214,542.4736842105264,971.0105263157858
LSHTM,Forecast,2,4,2020,9,4,2020,East of England,hospital_adm,256.4736842105263,0,13.894736842105264,155.1578947368421,369.94736842105266,649,1158.4505263157826
LSHTM,Forecast,2,4,2020,10,4,2020,East of England,hospital_adm,275,0,1.736842105263158,155.73684210526315,417.42105263157896,767.1052631578948,1442.007368421046
