Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Version,Value,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,6,7,2020,6,7,2020,East of England,hospital_inc,EpiSoon,1.0,19,11,12,14,14,15,16,17,18,18,19,20,20,21,22,23,25,26,28,30
LSHTM,6,7,2020,7,7,2020,East of England,hospital_inc,EpiSoon,1.0,18,9,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,26,28,31
LSHTM,6,7,2020,8,7,2020,East of England,hospital_inc,EpiSoon,1.0,18,8,10,11,12,13,14,15,16,17,18,19,19,21,22,23,24,26,28,32
LSHTM,6,7,2020,9,7,2020,East of England,hospital_inc,EpiSoon,1.0,17,7,9,10,12,13,14,15,15,16,17,18,19,20,21,22,24,26,28,32
LSHTM,6,7,2020,10,7,2020,East of England,hospital_inc,EpiSoon,1.0,16,7,9,10,11,12,13,14,15,16,16,17,18,19,21,22,24,25,28,33
LSHTM,6,7,2020,11,7,2020,East of England,hospital_inc,EpiSoon,1.0,16,6,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,26,29,33
LSHTM,6,7,2020,12,7,2020,East of England,hospital_inc,EpiSoon,1.0,16,5,7,9,10,11,12,13,14,15,16,16,18,19,20,21,23,25,28,34
LSHTM,6,7,2020,13,7,2020,East of England,hospital_inc,EpiSoon,1.0,15,5,7,8,9,10,11,12,13,14,15,16,17,19,20,21,23,25,29,34
LSHTM,6,7,2020,14,7,2020,East of England,hospital_inc,EpiSoon,1.0,14,4,6,7,9,10,11,12,12,13,14,16,17,18,19,21,23,25,28,34
LSHTM,6,7,2020,15,7,2020,East of England,hospital_inc,EpiSoon,1.0,14,4,6,7,8,9,10,11,12,13,14,15,16,17,19,20,22,25,29,35
LSHTM,6,7,2020,16,7,2020,East of England,hospital_inc,EpiSoon,1.0,13.5,3,5,7,8,9,10,11,12,12,13.5,15,16,17,18,20,22,25,28,35
LSHTM,6,7,2020,17,7,2020,East of England,hospital_inc,EpiSoon,1.0,13,3,5,6,7,8,9,10,11,12,13,14,15,17,18,20,22,25,28,35
LSHTM,6,7,2020,18,7,2020,East of England,hospital_inc,EpiSoon,1.0,12,3,4,6,7,8,9,10,11,11,12,14,15,16,18,19,21,24,28,35.05000000000018
LSHTM,6,7,2020,19,7,2020,East of England,hospital_inc,EpiSoon,1.0,12,2,4,5,6,7,8,9,10,11,12,13,14,16,17,19,21,24,28,36
LSHTM,6,7,2020,20,7,2020,East of England,hospital_inc,EpiSoon,1.0,12,2,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,24,28,37
LSHTM,6,7,2020,21,7,2020,East of England,hospital_inc,EpiSoon,1.0,11,2,3,5,5.800000000000068,6,7,8,9,10,11,12,14,15,16,18,20,24,28,37
LSHTM,6,7,2020,22,7,2020,East of England,hospital_inc,EpiSoon,1.0,11,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,21,24,28,38
LSHTM,6,7,2020,23,7,2020,East of England,hospital_inc,EpiSoon,1.0,11,1,3,4,5,6,7,8,8,9,11,12,13,14,16,18,20,23,28,38
LSHTM,6,7,2020,24,7,2020,East of England,hospital_inc,EpiSoon,1.0,10,1,2,4,4,5,6,7,8,9,10,11,12,14,16,18,20,23,28,39
LSHTM,6,7,2020,25,7,2020,East of England,hospital_inc,EpiSoon,1.0,10,1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,20,23,28,39
LSHTM,6,7,2020,26,7,2020,East of England,hospital_inc,EpiSoon,1.0,10,1,2,3,4,5,6,7,7,8,10,11,12,13,15,17,20,23,28,39.05000000000018
LSHTM,6,7,2020,27,7,2020,East of England,hospital_inc,EpiSoon,1.0,9,1,2,3,3.800000000000068,4,5,6,7,8,9,10,11,13,14,17,19,23,28,41
LSHTM,6,7,2020,28,7,2020,East of England,hospital_inc,EpiSoon,1.0,9,1,2,3,3,4,5,6,7,8,9,10,11,12,14,16,19,22,27,40
LSHTM,6,7,2020,6,7,2020,England,hospital_inc,EpiSoon,1.0,160,137,141.9,145,147,150,152,154.64999999999998,156,158,160,162,163.39999999999998,165,167,169,172,175,178,184
LSHTM,6,7,2020,7,7,2020,England,hospital_inc,EpiSoon,1.0,153,123,130,134,138,141,143,146,148.60000000000014,151,153,156,158,160,163,166,169,172,177,185
LSHTM,6,7,2020,8,7,2020,England,hospital_inc,EpiSoon,1.0,147,116,124,128,132,135,138,140,142,145,147,150,152,155,158,161,164,168,172,179
LSHTM,6,7,2020,9,7,2020,England,hospital_inc,EpiSoon,1.0,142,110,117,122,126,129,132,135,137,139,142,145,147,150,152,155,159,163,167.10000000000036,177
