Group,Scenario,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,Value Type,Model,Value,1st centile,5th centile,25th centile,75th centile,95th centile,99th centile
LSHTM,Forecast,8,4,2020,9,4,2020,East of England,hosp_inc,Branching process,190,50.99000000000001,103,158,222,292.0499999999993,419.03000000000065
LSHTM,Forecast,8,4,2020,10,4,2020,East of England,hosp_inc,Branching process,190,0,72,146,238,343,501
LSHTM,Forecast,8,4,2020,11,4,2020,East of England,hosp_inc,Branching process,189,0,29,131,250,388.0499999999993,611.0200000000004
LSHTM,Forecast,8,4,2020,12,4,2020,East of England,hosp_inc,Branching process,183,0,0,116,259,438,738.0400000000009
LSHTM,Forecast,8,4,2020,13,4,2020,East of England,hosp_inc,Branching process,177,0,0,95,270,492.0499999999993,879
LSHTM,Forecast,8,4,2020,14,4,2020,East of England,hosp_inc,Branching process,167,0,0,76,274,551.0499999999993,1087.0200000000004
LSHTM,Forecast,8,4,2020,15,4,2020,East of England,hosp_inc,Branching process,157,0,0,54,278,603.0499999999993,1262.1200000000026
LSHTM,Forecast,8,4,2020,16,4,2020,East of England,hosp_inc,Branching process,146,0,0,36,289,679.0499999999993,1483.0100000000002
LSHTM,Forecast,8,4,2020,17,4,2020,East of England,hosp_inc,Branching process,133,0,0,18,288.25,759.0499999999993,1893.050000000001
LSHTM,Forecast,8,4,2020,18,4,2020,East of England,hosp_inc,Branching process,119,0,0,0,290,838,2653.090000000002
LSHTM,Forecast,8,4,2020,19,4,2020,East of England,hosp_inc,Branching process,103,0,0,0,285,936.0499999999993,2816.740000000016
LSHTM,Forecast,8,4,2020,20,4,2020,East of England,hosp_inc,Branching process,95,0,0,0,290,1087.0999999999985,3953.1200000000026
LSHTM,Forecast,8,4,2020,21,4,2020,East of England,hosp_inc,Branching process,80,0,0,0,288,1240.0499999999993,4957.050000000001
LSHTM,Forecast,8,4,2020,22,4,2020,East of England,hosp_inc,Branching process,65,0,0,0,275.25,1331.199999999997,5828.240000000005
LSHTM,Forecast,56,28,14140,9,4,2020,England,hosp_inc,Branching process,2437,1185.96,1649.95,2133,2758,3367.0999999999985,4341.090000000002
LSHTM,Forecast,56,28,14140,10,4,2020,England,hosp_inc,Branching process,2288,564.99,1216.95,1881,2723,3578.0499999999993,4873.1600000000035
LSHTM,Forecast,56,28,14140,11,4,2020,England,hosp_inc,Branching process,2116,329.98,795,1622,2654,3753.0999999999985,5623.130000000003
LSHTM,Forecast,56,28,14140,12,4,2020,England,hosp_inc,Branching process,1925,183.96000000000004,484,1359,2562,3939.0499999999993,6273.150000000003
LSHTM,Forecast,56,28,14140,13,4,2020,England,hosp_inc,Branching process,1721,17.99000000000001,311.95000000000005,1070,2454.25,4098.0999999999985,7134.300000000007
LSHTM,Forecast,56,28,14140,14,4,2020,England,hosp_inc,Branching process,1503.5,0,197,796,2314,4249.249999999996,8004.210000000005
LSHTM,Forecast,56,28,14140,15,4,2020,England,hosp_inc,Branching process,1276,0,79.95000000000005,546,2164.25,4392.199999999997,8927.360000000008
LSHTM,Forecast,56,28,14140,16,4,2020,England,hosp_inc,Branching process,1065,0,18,386,2004.25,4550.199999999997,10073.550000000012
LSHTM,Forecast,56,28,14140,17,4,2020,England,hosp_inc,Branching process,857,0,0,286,1838.25,4725.149999999998,11801.340000000007
LSHTM,Forecast,56,28,14140,18,4,2020,England,hosp_inc,Branching process,699,0,0,195,1690,4885.0999999999985,14418.090000000024
LSHTM,Forecast,56,28,14140,19,4,2020,England,hosp_inc,Branching process,547.5,0,0,125,1513.25,5117.399999999994,16682.600000000035
LSHTM,Forecast,56,28,14140,20,4,2020,England,hosp_inc,Branching process,434,0,0,70,1380.5,5475.299999999996,20438.510000000053
LSHTM,Forecast,56,28,14140,21,4,2020,England,hosp_inc,Branching process,339,0,0,45,1255,5774.299999999996,26792.000000000065
LSHTM,Forecast,56,28,14140,22,4,2020,England,hosp_inc,Branching process,254,0,0,27,1109.25,6041.599999999991,31152.330000000096
LSHTM,Forecast,8,4,2020,9,4,2020,London,hosp_inc,Branching process,681,444.99,530,624,741,840,949.0100000000002
LSHTM,Forecast,8,4,2020,10,4,2020,London,hosp_inc,Branching process,647,329,448,570,730,861,1016.0400000000009
LSHTM,Forecast,8,4,2020,11,4,2020,London,hosp_inc,Branching process,612,234,371,519,712,893,1113.0200000000004
LSHTM,Forecast,8,4,2020,12,4,2020,London,hosp_inc,Branching process,568,133.98000000000002,291,463,684,918,1230.0100000000002
LSHTM,Forecast,8,4,2020,13,4,2020,London,hosp_inc,Branching process,522,17.99000000000001,216,403,654,936,1369.0600000000013
LSHTM,Forecast,8,4,2020,14,4,2020,London,hosp_inc,Branching process,464.5,0,134,340,611,953.0499999999993,1484.1000000000022
LSHTM,Forecast,8,4,2020,15,4,2020,London,hosp_inc,Branching process,405,0,41.950000000000045,269,563,976,1633.0300000000007
LSHTM,Forecast,8,4,2020,16,4,2020,London,hosp_inc,Branching process,349,0,0,208,519,969,1745.1500000000033
LSHTM,Forecast,8,4,2020,17,4,2020,London,hosp_inc,Branching process,289,0,0,154,463,980,1939.0400000000009
LSHTM,Forecast,8,4,2020,18,4,2020,London,hosp_inc,Branching process,235,0,0,101,408,955,2144.3500000000076
LSHTM,Forecast,8,4,2020,19,4,2020,London,hosp_inc,Branching process,180,0,0,50,348,948,2420.040000000001
LSHTM,Forecast,8,4,2020,20,4,2020,London,hosp_inc,Branching process,133,0,0,13,300.25,960.0499999999993,2724.1500000000033
LSHTM,Forecast,8,4,2020,21,4,2020,London,hosp_inc,Branching process,95,0,0,0,252,949.0999999999985,3115.4300000000094
LSHTM,Forecast,8,4,2020,22,4,2020,London,hosp_inc,Branching process,60,0,0,0,202,927.0499999999993,2901.040000000001
LSHTM,Forecast,8,4,2020,9,4,2020,Midlands,hosp_inc,Branching process,425,188.99,286,371,482,593,811.0300000000007
LSHTM,Forecast,8,4,2020,10,4,2020,Midlands,hosp_inc,Branching process,370,27.99000000000001,174.95000000000005,297,442,588,873.0300000000007
LSHTM,Forecast,8,4,2020,11,4,2020,Midlands,hosp_inc,Branching process,309,0,78,223,401,574,1016.0400000000009
LSHTM,Forecast,8,4,2020,12,4,2020,Midlands,hosp_inc,Branching process,254,0,0,158,356,573,1103.0200000000004
LSHTM,Forecast,8,4,2020,13,4,2020,Midlands,hosp_inc,Branching process,194,0,0,86,307,554,1244.1700000000037
LSHTM,Forecast,8,4,2020,14,4,2020,Midlands,hosp_inc,Branching process,139,0,0,26,256,515,1275.0700000000015
LSHTM,Forecast,8,4,2020,15,4,2020,Midlands,hosp_inc,Branching process,90,0,0,0,215,494,1310
LSHTM,Forecast,8,4,2020,16,4,2020,Midlands,hosp_inc,Branching process,46,0,0,0,162,451,1355.0200000000004
LSHTM,Forecast,8,4,2020,17,4,2020,Midlands,hosp_inc,Branching process,11,0,0,0,122,423.0499999999993,1641.0700000000015
LSHTM,Forecast,8,4,2020,18,4,2020,Midlands,hosp_inc,Branching process,0,0,0,0,95,425.0499999999993,1999.1900000000041
LSHTM,Forecast,8,4,2020,19,4,2020,Midlands,hosp_inc,Branching process,0,0,0,0,61,352.0499999999993,1772.0800000000017
LSHTM,Forecast,8,4,2020,20,4,2020,Midlands,hosp_inc,Branching process,0,0,0,0,45,347.0499999999993,2758.000000000022
LSHTM,Forecast,8,4,2020,21,4,2020,Midlands,hosp_inc,Branching process,0,0,0,0,27,295,2584.46000000001
LSHTM,Forecast,8,4,2020,22,4,2020,Midlands,hosp_inc,Branching process,0,0,0,0,14,279,3247.7700000000386
LSHTM,Forecast,8,4,2020,9,4,2020,North East and Yorkshire,hosp_inc,Branching process,352,177,232,304,401,483,604.0100000000002
LSHTM,Forecast,8,4,2020,10,4,2020,North East and Yorkshire,hosp_inc,Branching process,324,73,176,266,385,496,654.0100000000002
LSHTM,Forecast,8,4,2020,11,4,2020,North East and Yorkshire,hosp_inc,Branching process,292,10.990000000000009,123,224,364,508,744
LSHTM,Forecast,8,4,2020,12,4,2020,North East and Yorkshire,hosp_inc,Branching process,255,0,64,178,343,502,776.0200000000004
LSHTM,Forecast,8,4,2020,13,4,2020,North East and Yorkshire,hosp_inc,Branching process,218,0,0.9500000000000455,134,314,514,860.0100000000002
LSHTM,Forecast,8,4,2020,14,4,2020,North East and Yorkshire,hosp_inc,Branching process,179,0,0,85,285,509.0499999999993,955
LSHTM,Forecast,8,4,2020,15,4,2020,North East and Yorkshire,hosp_inc,Branching process,138,0,0,44,252.25,497,930.0200000000004
LSHTM,Forecast,8,4,2020,16,4,2020,North East and Yorkshire,hosp_inc,Branching process,101,0,0,5,220,497,1022.1100000000024
LSHTM,Forecast,8,4,2020,17,4,2020,North East and Yorkshire,hosp_inc,Branching process,69,0,0,0,188,461,1125.0100000000002
LSHTM,Forecast,8,4,2020,18,4,2020,North East and Yorkshire,hosp_inc,Branching process,41,0,0,0,155,440.0499999999993,1235.0400000000009
LSHTM,Forecast,8,4,2020,19,4,2020,North East and Yorkshire,hosp_inc,Branching process,16.5,0,0,0,129,426,1270.3300000000072
LSHTM,Forecast,8,4,2020,20,4,2020,North East and Yorkshire,hosp_inc,Branching process,0,0,0,0,92.25,378.0499999999993,1421.2500000000055
LSHTM,Forecast,8,4,2020,21,4,2020,North East and Yorkshire,hosp_inc,Branching process,0,0,0,0,75,373.0499999999993,1601.4900000000107
LSHTM,Forecast,8,4,2020,22,4,2020,North East and Yorkshire,hosp_inc,Branching process,0,0,0,0,52,340,1569.3500000000076
LSHTM,Forecast,8,4,2020,9,4,2020,North West,hosp_inc,Branching process,383,123,229.95000000000005,324,448,572,727.0100000000002
LSHTM,Forecast,8,4,2020,10,4,2020,North West,hosp_inc,Branching process,360,0,132,276,453,651,871.0400000000009
LSHTM,Forecast,8,4,2020,11,4,2020,North West,hosp_inc,Branching process,330,0,40,227,448,698.0499999999993,1012.0200000000004
