Group,Scenario,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,Value Type,Value,1st centile,5th centile,25th centile,75th centile,95th centile,99th centile
LSHTM,Forecast,5,4,2020,5,4,2020,East of England,hospital_adm,190,0,74,146,239,350,542.0300000000007
LSHTM,Forecast,5,4,2020,6,4,2020,East of England,hospital_adm,198,0,43,142,261,403,634.0600000000013
LSHTM,Forecast,5,4,2020,7,4,2020,East of England,hospital_adm,204,0,18,137,280,462.14999999999964,771.0300000000007
LSHTM,Forecast,5,4,2020,8,4,2020,East of England,hospital_adm,209,0,0,128,301,524.1499999999996,907
LSHTM,Forecast,5,4,2020,9,4,2020,East of England,hospital_adm,214,0,0,117,327,603.1499999999996,1090.1200000000026
LSHTM,Forecast,5,4,2020,10,4,2020,East of England,hospital_adm,217.5,0,0,106,350,686,1327.0600000000013
LSHTM,Forecast,5,4,2020,11,4,2020,East of England,hospital_adm,220,0,0,91.25,375.75,796,1643.3900000000085
LSHTM,Forecast,5,4,2020,12,4,2020,East of England,hospital_adm,214.5,0,0,80,409,919,1868.180000000004
LSHTM,Forecast,5,4,2020,13,4,2020,East of England,hospital_adm,216,0,0,66,432,1066,2267.330000000007
LSHTM,Forecast,5,4,2020,14,4,2020,East of England,hospital_adm,211,0,0,57,470,1226.1499999999996,2841.0300000000007
LSHTM,Forecast,5,4,2020,15,4,2020,East of England,hospital_adm,207,0,0,45,506,1454,3618.6600000000144
LSHTM,Forecast,5,4,2020,16,4,2020,East of England,hospital_adm,203,0,0,33,539,1686,4265.960000000021
LSHTM,Forecast,5,4,2020,17,4,2020,East of England,hospital_adm,192,0,0,25,572,1977,5375.150000000003
LSHTM,Forecast,5,4,2020,18,4,2020,East of England,hospital_adm,189,0,0,17,603,2298.2999999999993,6745.270000000006
LSHTM,Forecast,5,4,2020,5,4,2020,England,hospital_adm,2952,619.34,1547.95,2412,3582,5171.249999999997,8409.910000000003
LSHTM,Forecast,5,4,2020,6,4,2020,England,hospital_adm,3105,299.2900000000001,1282.6,2419,3913.5,5939.849999999998,10024.700000000004
LSHTM,Forecast,5,4,2020,7,4,2020,England,hospital_adm,3246,194,1027.65,2401,4253.25,6698.0499999999965,12174.919999999991
LSHTM,Forecast,5,4,2020,8,4,2020,England,hospital_adm,3354,98.24000000000001,783.1500000000001,2340,4587,7566.249999999996,14395.570000000032
LSHTM,Forecast,5,4,2020,9,4,2020,England,hospital_adm,3444,59.72,610.05,2257.5,4940,8681.649999999998,16587.629999999986
LSHTM,Forecast,5,4,2020,10,4,2020,England,hospital_adm,3507.5,35.86,469,2140,5288,9931.199999999997,19783.83000000001
LSHTM,Forecast,5,4,2020,11,4,2020,England,hospital_adm,3578.5,0.8599999999999994,372.45000000000005,2010.25,5699.75,11400.599999999995,23472.270000000062
LSHTM,Forecast,5,4,2020,12,4,2020,England,hospital_adm,3602,0,278.35,1872,6116,13032.599999999995,27920.030000000002
LSHTM,Forecast,5,4,2020,13,4,2020,England,hospital_adm,3636,0,195,1730,6566,14990.499999999995,33914.38000000005
LSHTM,Forecast,5,4,2020,14,4,2020,England,hospital_adm,3628.5,0,138.8,1579.25,7042.25,17502.899999999994,40469.649999999994
LSHTM,Forecast,5,4,2020,15,4,2020,England,hospital_adm,3614.5,0,101.80000000000001,1427.5,7518,20143.949999999993,48968.70000000002
LSHTM,Forecast,5,4,2020,16,4,2020,England,hospital_adm,3607.5,0,73,1302,7997,23333.59999999999,59380.18000000004
LSHTM,Forecast,5,4,2020,17,4,2020,England,hospital_adm,3568,0,57.30000000000001,1174.75,8478,27320.84999999998,72118.93999999994
LSHTM,Forecast,5,4,2020,18,4,2020,England,hospital_adm,3529,0,38,1054,9008.5,31745.24999999998,87650.9200000001
LSHTM,Forecast,5,4,2020,5,4,2020,London,hospital_adm,743,190.49000000000007,423.35,619,889,1276,2258.8600000000006
LSHTM,Forecast,5,4,2020,6,4,2020,London,hospital_adm,742,48.49000000000005,347,598,926,1389,2522.9300000000003
LSHTM,Forecast,5,4,2020,7,4,2020,London,hospital_adm,743,0,300,574,958.25,1479.949999999999,2929.8600000000006
LSHTM,Forecast,5,4,2020,8,4,2020,London,hospital_adm,734,0,246.35000000000002,543,983,1614,3331.1600000000035
LSHTM,Forecast,5,4,2020,9,4,2020,London,hospital_adm,712,0,176,503,1000,1757.6499999999996,3696.3900000000067
LSHTM,Forecast,5,4,2020,10,4,2020,London,hospital_adm,686,0,126,457,1008,1922.2999999999993,4334.810000000005
LSHTM,Forecast,5,4,2020,11,4,2020,London,hospital_adm,663,0,76.35000000000002,421,1022,2085.2999999999993,4939.450000000019
LSHTM,Forecast,5,4,2020,12,4,2020,London,hospital_adm,626,0,34.35000000000002,375,1039.25,2225,5639.720000000001
LSHTM,Forecast,5,4,2020,13,4,2020,London,hospital_adm,599,0,5,329,1041,2419,6665.8000000000175
LSHTM,Forecast,5,4,2020,14,4,2020,London,hospital_adm,560,0,0,288,1037.25,2619.6499999999996,7391.580000000002
LSHTM,Forecast,5,4,2020,15,4,2020,London,hospital_adm,518,0,0,243,1022,2850.5999999999985,8779.490000000027
LSHTM,Forecast,5,4,2020,16,4,2020,London,hospital_adm,480.5,0,0,208,1024,3054.6499999999996,9819.500000000015
LSHTM,Forecast,5,4,2020,17,4,2020,London,hospital_adm,438,0,0,175.75,1015.25,3359.5499999999975,10829.940000000017
LSHTM,Forecast,5,4,2020,18,4,2020,London,hospital_adm,396,0,0,148,994.25,3621.199999999997,12460.150000000016
LSHTM,Forecast,5,4,2020,5,4,2020,Midlands,hospital_adm,649,37.03999999999999,285.6,507,808,1202.3999999999996,1816.9199999999983
LSHTM,Forecast,5,4,2020,6,4,2020,Midlands,hospital_adm,674,0,186.60000000000002,492,885,1406.199999999999,2201.959999999999
LSHTM,Forecast,5,4,2020,7,4,2020,Midlands,hospital_adm,697,0,94.60000000000002,467,971,1602.7999999999993,2630.719999999994
LSHTM,Forecast,5,4,2020,8,4,2020,Midlands,hospital_adm,711,0,0,428,1051,1819.199999999999,3147.719999999994
LSHTM,Forecast,5,4,2020,9,4,2020,Midlands,hospital_adm,721,0,0,401,1148,2138,3737.679999999982
LSHTM,Forecast,5,4,2020,10,4,2020,Midlands,hospital_adm,716,0,0,352,1234,2509.399999999998,4491.359999999986
LSHTM,Forecast,5,4,2020,11,4,2020,Midlands,hospital_adm,710,0,0,298,1331,2907.199999999999,5406
LSHTM,Forecast,5,4,2020,12,4,2020,Midlands,hospital_adm,696,0,0,247,1422,3389.199999999999,6622.799999999985
LSHTM,Forecast,5,4,2020,13,4,2020,Midlands,hospital_adm,671,0,0,198,1531,3939.199999999999,8461.159999999982
LSHTM,Forecast,5,4,2020,14,4,2020,Midlands,hospital_adm,636,0,0,146,1634,4660.4,10396.319999999996
LSHTM,Forecast,5,4,2020,15,4,2020,Midlands,hospital_adm,608,0,0,112,1738,5367.7999999999975,12647.719999999983
LSHTM,Forecast,5,4,2020,16,4,2020,Midlands,hospital_adm,583,0,0,80,1834,6391.7999999999975,15867.079999999958
LSHTM,Forecast,5,4,2020,17,4,2020,Midlands,hospital_adm,544,0,0,54,1925,7619.999999999996,19804.75999999993
LSHTM,Forecast,5,4,2020,18,4,2020,Midlands,hospital_adm,520,0,0,39,2006,8930.399999999994,24161.919999999987
LSHTM,Forecast,5,4,2020,5,4,2020,North East and Yorkshire,hospital_adm,447,142,253,376,533,756.1999999999989,1263.3200000000015
LSHTM,Forecast,5,4,2020,6,4,2020,North East and Yorkshire,hospital_adm,489,91.56,252,398,598,888,1586.2000000000025
LSHTM,Forecast,5,4,2020,7,4,2020,North East and Yorkshire,hospital_adm,536,62,236,423,670,1025.199999999999,1977.880000000001
LSHTM,Forecast,5,4,2020,8,4,2020,North East and Yorkshire,hospital_adm,579,7.240000000000009,217.8,434,744,1168.199999999999,2411.8800000000138
LSHTM,Forecast,5,4,2020,9,4,2020,North East and Yorkshire,hospital_adm,616,0,192,448,823,1355.199999999999,2710.760000000002
LSHTM,Forecast,5,4,2020,10,4,2020,North East and Yorkshire,hospital_adm,658,0,156,454,906,1561,3304.8400000000056
