Group,Scenario,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,Value Type,Model,Value,1st centile,5th centile,25th centile,75th centile,95th centile,99th centile
LSHTM,Forecast,7,4,2020,8,4,2020,East of England,hosp_inc,Branching process,175,40,95,144,205,266.0499999999993,346.0100000000002
LSHTM,Forecast,7,4,2020,9,4,2020,East of England,hosp_inc,Branching process,172,0,62,131,215,309,421.0100000000002
LSHTM,Forecast,7,4,2020,10,4,2020,East of England,hosp_inc,Branching process,165,0,20,112,221,342,492
LSHTM,Forecast,7,4,2020,11,4,2020,East of England,hosp_inc,Branching process,159,0,0,97,229,382,573.0200000000004
LSHTM,Forecast,7,4,2020,12,4,2020,East of England,hosp_inc,Branching process,147,0,0,76,229,420,657
LSHTM,Forecast,7,4,2020,13,4,2020,East of England,hosp_inc,Branching process,134,0,0,55,230,471.0499999999993,820.0300000000007
LSHTM,Forecast,7,4,2020,14,4,2020,East of England,hosp_inc,Branching process,121,0,0,31,230,518,935.1100000000024
LSHTM,Forecast,7,4,2020,15,4,2020,East of England,hosp_inc,Branching process,110,0,0,14.75,231,557.0499999999993,1063.050000000001
LSHTM,Forecast,7,4,2020,16,4,2020,East of England,hosp_inc,Branching process,94,0,0,0,227,588,1267.140000000003
LSHTM,Forecast,7,4,2020,17,4,2020,East of England,hosp_inc,Branching process,79,0,0,0,218,669.0999999999985,1603.1600000000035
LSHTM,Forecast,7,4,2020,18,4,2020,East of England,hosp_inc,Branching process,66,0,0,0,214,717,1820.0700000000015
LSHTM,Forecast,7,4,2020,19,4,2020,East of England,hosp_inc,Branching process,51,0,0,0,208,830.0499999999993,2282
LSHTM,Forecast,7,4,2020,20,4,2020,East of England,hosp_inc,Branching process,37,0,0,0,194,885.0999999999985,2862.0700000000015
LSHTM,Forecast,7,4,2020,21,4,2020,East of England,hosp_inc,Branching process,35,0,0,0,198.25,1014,3730.3800000000083
LSHTM,Forecast,7,4,2020,8,4,2020,England,hosp_inc,Branching process,2502,1183.97,1677.95,2182,2831,3443.0499999999993,4215.080000000002
LSHTM,Forecast,7,4,2020,9,4,2020,England,hosp_inc,Branching process,2374.5,531.95,1246.8500000000001,1947,2827,3708,4871.090000000002
