region,variable,mean,se_mean,sd,lower_95,lower_90,lower_80,lower_70,lower_60,lower_50,lower_40,lower_30,lower_20,lower_10,median,upper_10,upper_20,upper_30,upper_40,upper_50,upper_60,upper_70,upper_80,upper_90,upper_95
East of England,delay_mean[1],1.72605791343941,0.0327030813053759,1.17490019844191,-0.543753415240487,-0.171550101185157,0.247704598893292,0.518961729932721,0.75483367236361,0.955106833344323,1.12515971596449,1.2765311133017,1.44194236545809,1.59857434398305,1.7377596809692,1.87238418796093,2.00167783174911,2.14737985156486,2.28558045409926,2.45257581967,2.65685671312248,2.90538818564435,3.19925818126249,3.69818925723099,4.14544904576933
East of England,delay_sd[1],0.788287501807765,0.00952857457336212,0.39466120040758,0.117905373206058,0.175937048825109,0.283011562065498,0.360199401837989,0.427728506101069,0.492520325011394,0.547793424477689,0.599821418048292,0.659687587443756,0.71766993136033,0.768085173482923,0.818201933648441,0.875387692262794,0.928551116688214,0.987217278605331,1.04920606734655,1.12367920991913,1.21045197542629,1.32473431161582,1.49152466058196,1.60977770220439
East of England,frac_obs[1],0.0286462984143837,0.000530393523393224,0.0182027012160185,0.00134616924613304,0.00322152778969171,0.0064653385176415,0.00937438268155864,0.0120624950353393,0.0146003258378887,0.0169745793788721,0.0193620904677265,0.0216621853109856,0.0238441091948115,0.0260751421047728,0.0286226769008707,0.0309159361783738,0.0339228033004413,0.0369029004778753,0.0402841287596245,0.0439805142301238,0.048291250203963,0.0535890638020319,0.0620316925488551,0.0703047136460697
England,delay_mean[1],2.27921668576918,0.0230472936214987,0.95879234317865,0.391786463037886,0.708748539990889,1.07312102739962,1.32593069762402,1.52444200509974,1.67102183690336,1.81715712961906,1.92959464524959,2.04393062544135,2.15714618310603,2.25913200331979,2.37538143541152,2.4807170665868,2.59707060049231,2.71874615609111,2.85838924201323,3.00892039026241,3.19775715771971,3.48573395559142,3.90911876405245,4.30606595560165
England,delay_sd[1],0.827375761966189,0.0146370967717692,0.41360954664685,0.0870320034642602,0.173749011963837,0.283809836758774,0.370231071510633,0.445406453162381,0.517206287637396,0.584085761520636,0.644000010908957,0.708584382385336,0.764639054540068,0.816231221060471,0.877369008338826,0.932564349906952,0.985299233149727,1.03958228183375,1.11356210145713,1.18851651512326,1.26530267661392,1.37580934791533,1.53893727812159,1.65969178986341
England,frac_obs[1],0.0139489448348817,0.000188339603940167,0.00726968791179427,0.00193711467788991,0.00308338316073452,0.00493641689470597,0.00648768083412185,0.00762987034512018,0.00860430895780017,0.00955739608207781,0.01044549027247,0.0113531594634301,0.0122509302605822,0.0132330684120053,0.0142226541600843,0.0152115987363432,0.0161930488470293,0.0173546012348739,0.0186009129001144,0.0200688677580694,0.0217323031702016,0.02382495365555,0.0269769517750404,0.0293915638098238
London,delay_mean[1],1.8068700630044,0.0272823659893128,1.04742130832019,-0.291013235214047,0.123611385104288,0.501835186644195,0.759913325990425,0.946822000515409,1.11095598492781,1.26345646817306,1.40670599293782,1.5468589448444,1.65789372932828,1.77970244026514,1.92145158816226,2.05714015254995,2.18960666823659,2.31574914396736,2.48467067162971,2.64809488169424,2.88702544240744,3.16853939908562,3.57867285745002,3.92883375063501
London,delay_sd[1],0.757081360969914,0.0114574662219858,0.407766660147393,0.0669887830381013,0.122317821408074,0.221669921455747,0.304796213498127,0.387159424998512,0.449460995352087,0.515392958016534,0.567907776918877,0.62731028622104,0.681394337301494,0.738892822049156,0.792138449965793,0.848345103949879,0.908043574920455,0.970354872877886,1.03546889353398,1.11036444160902,1.19358701620785,1.30103435520932,1.4619943698531,1.62004010236104
London,frac_obs[1],0.0346605324572267,0.000529808647950642,0.021025449093254,0.00280749819323504,0.00513978737591748,0.00914907753787755,0.0126906291687614,0.0154634312108098,0.0185570167095198,0.0208350580713939,0.0236300238679664,0.0265499850142864,0.0293599092715127,0.0321351527264676,0.0351484700398835,0.0380846502629533,0.0412315127789403,0.0441079619701565,0.0477843836083485,0.0519975010612068,0.0569716048358318,0.0632549934795102,0.0734927071156715,0.0816342353765607
Midlands,delay_mean[1],0.98700985521729,0.026028380395866,0.950517079135281,-0.978153314250995,-0.610525719821537,-0.237259329515921,0.0593370875563811,0.281718593842241,0.450104207925882,0.579054349060482,0.697380302841378,0.793143838724595,0.882416242405462,0.984196269815215,1.08252671834801,1.19432693277781,1.3031901116288,1.43151850319617,1.57566911650359,1.74128764560295,1.89529892155113,2.1442738188518,2.55141958162546,2.90004479275092
