Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,8,2,2021,8,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,91,All,39.95,51,58,63,68,73,78,82,87,91,96,100,106,113,119,129,140,157,181.0999999999999
LSHTM,8,2,2021,9,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,87,All,38,49,56,60,64,68,72,77,82,87,91,96,101,106,113,119,131,144,179
LSHTM,8,2,2021,10,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,86,All,39,49,55,60,64,68,72.64999999999998,77.60000000000002,82,86,90,95,100,106,112,119,126.14999999999998,139,161
LSHTM,8,2,2021,11,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,77,All,35,42,48,52,57,61,65,69,73,77,82,86,90,96,103,110,120,131,146.04999999999995
LSHTM,8,2,2021,12,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,86,All,40,49,54,59,63,68,73,78,82,86,90,95,100,107,114,121.20000000000005,131,148,177
LSHTM,8,2,2021,13,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,77,All,34.95,41,46,51,56,61,65,69,72,77,81,87,92,97,104.25,111,121,134,154.04999999999995
LSHTM,8,2,2021,14,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,80,All,36,44,49,53,58,63,68,71,75,80,84,90,95,100,105,112,120.14999999999998,133,158
LSHTM,8,2,2021,15,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,69,All,31,38,43,48,51,55,59,62,65,69,73,78,82,86,90,96,105,117,131.04999999999995
LSHTM,8,2,2021,16,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,66,All,31,37,41,45,49,52,56,60,63,66,70,75,80,84,89,95,101.14999999999998,113,135.04999999999995
LSHTM,8,2,2021,17,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,65,All,27,34,39,43,47,51,55,58,61,65,69,72,76,80.29999999999995,85,91.20000000000005,99,111,128
