Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,25,1,2021,25,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,156,All,80.95,96,105,114,122,128,136,143,149,156,163,169.39999999999998,176,185,195,204,219.14999999999998,239,269
LSHTM,25,1,2021,26,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,151,All,78,92,102,109,117,124,131.64999999999998,138,144,151,157,163,169,176,185,199,213,232,262.04999999999995
LSHTM,25,1,2021,27,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,137,All,72,86,95,101.80000000000001,107,114,119,125,131,137,143,149,155,163,172,182.20000000000005,195,211,235.04999999999995
LSHTM,25,1,2021,28,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,122,All,64,74,81.85,88,94,100,106,112,116,122,127.45000000000005,134,139,146,154,160,170.14999999999998,187.10000000000002,214.04999999999995
LSHTM,25,1,2021,29,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,140.5,All,76,88,96,104,111,118,124,130,135.55,140.5,146,153,160,168,176,186,201,218,249.04999999999995
LSHTM,25,1,2021,30,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,138,All,71,86,95,100,107,115,122,128,133,138,143,151,158,165,176.25,187,200,216.10000000000002,248.04999999999995
LSHTM,25,1,2021,31,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,139,All,74,86,94,102,110,116.69999999999999,120.64999999999998,127,133,139,144.45000000000005,150,159,166,174,186.20000000000005,196.14999999999998,214,246.0999999999999
LSHTM,25,1,2021,1,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,138,All,73,86,94,102,109,115,120.64999999999998,126,133,138,146,152.39999999999998,161,168,175,185,195,211.10000000000002,242
LSHTM,25,1,2021,2,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,133,All,70,81,89,96,102,108.69999999999999,114,120,126,133,139,144,151.35000000000002,160,168,178.20000000000005,194.14999999999998,214,243.04999999999995
LSHTM,25,1,2021,3,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,126,All,62.95,76,84,89,96,101,108,115,121,126,131,137,143,149,155,165.20000000000005,177,191.10000000000002,216
LSHTM,25,1,2021,4,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,108,All,56.95,65,72,79,84,88,92,98,103,108,112,119,125,131,138,146.20000000000005,158,173,193
LSHTM,25,1,2021,5,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,122,All,62,70,76,84,92,98,104,109,116,122,127.45000000000005,134,141,147,154,165,178,195.20000000000005,232.04999999999995
LSHTM,25,1,2021,6,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,119,All,61,72.9,79,85,91,96,101,107,112.55000000000001,119,126,131,136,144,154,164,177,195,222.04999999999995
LSHTM,25,1,2021,7,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,119,All,65,73,81,88,93,99,104,108,113,119,126,131,136,144,153,162,175,189,219
LSHTM,25,1,2021,8,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,120,All,60,70,78,85,92,98,103,108,113,120,126,131.39999999999998,139.35000000000002,147.29999999999995,154,163,173.14999999999998,194.10000000000002,216
LSHTM,25,1,2021,9,2,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,115,All,58,68,76.85,82,89,93,97,103.60000000000002,109,115,121,127,134,142,149,159,169.14999999999998,183,210.04999999999995
