Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,12,10,2022,12,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,29,All,16,18,20,22,23,24,26,27,28,29,30,32,33,34,36,38,40,43,47
LSHTM,12,10,2022,13,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,32,All,17,19,21,22,24,26,28,28,30,32,33,35,36,38,39,41,44,47,52
LSHTM,12,10,2022,14,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,33,All,17,20,22,24,25,27,28,30,31,33,34,36,37,39,41,42.2000000000001,45,49,54.05
LSHTM,12,10,2022,15,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,34,All,18,20,23,25,27,29,30,32,33,34,36,37,39,41,43,45,48,52,57
LSHTM,12,10,2022,16,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,38,All,18,21,23,26,28,30,32,33,36,38,39,41,43,45,48,50,53,57,63.05
LSHTM,12,10,2022,17,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,41,All,19,23,26,28,30,32,34,36,38,41,42,44,46,48,51,53.2000000000001,56,60,67.05
LSHTM,12,10,2022,18,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,42,All,20,23.9,27,29.8,32,34,36,38,40,42,44,46,48,51,54,58,62,66,76
LSHTM,12,10,2022,19,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,46,All,21,25,29,32,34,37,39,42,44,46,48,51,53,55,58,62,67,73,81.05
LSHTM,12,10,2022,20,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,48.5,All,21,26.9,30,33,35,38,40,43,46,48.5,51,54,57,59.3,62,67,73,78,87.05
LSHTM,12,10,2022,21,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,51,All,22,27,30,34,37,40,43,45.6,48,51,53,56,59,62,66,70,75,84,92
LSHTM,12,10,2022,22,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,53,All,21,27,31,34,37,41,44,47,50,53,55,58,61,66,69,73,79,87.1,97
LSHTM,12,10,2022,23,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,56,All,22,28,32,35,39.75,42,47,50,53.55,56,59,63,66,69,74,78,85,91,103
LSHTM,12,10,2022,24,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,60,All,24,30,35,39,44,47,50,53,56,60,63,66,72,76,81,86,92,99,112
LSHTM,12,10,2022,25,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,64,All,24,31,37,41,45,48,52,56,60,64,68,72,76,82,86,91,99,108,122
LSHTM,12,10,2022,26,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,67,All,25,32.9,38,42,47,51,55,59,63,67,71,77,80,85,90,96,105,114,130.05
LSHTM,12,10,2022,27,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,72,All,26,34,40,45,49,53.7,58,62.6,67,72,76,81,85,91,98,103,111,121,136.05
LSHTM,12,10,2022,28,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,76,All,26.95,34.9,40,45,50,55,60,65,71,76,80,83,87.35,94,99,106,113,127,146
LSHTM,12,10,2022,29,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,78,All,28,36,42,47,52,57,63,69,75,78,83,87,91,97,105,113,122,134,152
LSHTM,12,10,2022,30,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,83,All,28,36,45,50,56,62,66,71,77,83,88,92,98,104,111.25,119,129,144,165.05
LSHTM,12,10,2022,31,10,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,88,All,29,38.9,45,52,58.75,65,69,75,81,88,93,98,103,109,116,126.2,137,149.1,173
LSHTM,12,10,2022,1,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,92,All,28.95,41,48.85,56,63,67,74,80,87,92,97,103,110,116,125,136,146,161,184
LSHTM,12,10,2022,2,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,97,All,31,42,51,58,64,70,77,84,91,97,103,110,117.35,124,134,142,155,169,196
LSHTM,12,10,2022,3,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,104,All,32,44,50.85,57,66,73,82,87,96,104,109,114,120,128,137,149,165,183,208
LSHTM,12,10,2022,4,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,105,All,33,44,53,62,68,76,84,92,98,105,111,119,126,135,144,155,169.15,185.1,218
LSHTM,12,10,2022,5,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,108,All,35,45,55,62,70,78,84,92,101,108,115,123,128,137.3,148,161,174,192.1,224.1
LSHTM,12,10,2022,6,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,113,All,33.95,47,57,67.8,74,81,89,96.6,105,113,119,127,134.35,145,156,168,182.15,199,231
LSHTM,12,10,2022,7,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,117,All,36.95,51,60,69,78,85.7,93,101,111,117,126,134,145,156,168,181,194.15,211.1,240.05
LSHTM,12,10,2022,8,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,122,All,34.95,51.9,63,73,80,91,99,105.6,115,122,130.45,141,150.35,159,173,186.2,202.15,225.1,260
LSHTM,12,10,2022,9,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,131,All,39.95,55,65,75,84,93,102,113,121.55,131,138,148.4,158.35,166.3,182,198.2,211.15,235,270.1
LSHTM,12,10,2022,10,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,132,All,39,55,67,79,87,96,108,115,123,132,143,153,163,176,188,205,223,243,282.1
LSHTM,12,10,2022,11,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,136.5,All,39.95,57,68,78,89.75,98,107,118,128,136.5,144.45,155,164,177.3,195,210,228.15,249.2,289.1
LSHTM,12,10,2022,12,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,139,All,38.95,56,69,80,91,101,110.65,120,130,139,150.45,160,172,182.3,196.25,215.2,234,255,301.1
LSHTM,12,10,2022,13,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,145,All,39,58.9,71,82,94,104,114,125,135,145,156,165,178,190,205,221.2,241,266,312
LSHTM,12,10,2022,14,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,149,All,39.95,57,73,86,97,108,119,129.6,138,149,159,171,184,198.3,215,232,251,272,327
LSHTM,12,10,2022,15,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,154,All,42,63,77,87.8,98,111.7,122,134,142.55,154,166,179,190,205.3,223.25,240.2,259,289,342.05
LSHTM,12,10,2022,16,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,160,All,41,62,77,90.8,102,113,128.65,138.6,151,160,171,184.4,199.35,212,229.25,251,268,297.1,349.2
LSHTM,12,10,2022,17,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,163,All,44,63,80,92,106,118,131.65,140,151,163,174,188,201,218,236.25,256,277,304,360
LSHTM,12,10,2022,18,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,167,All,44.9,65.9,80,93,108,117,128,142,153,167,179,192.4,206.35,220,239,260.4,280,309,354
LSHTM,12,10,2022,19,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,167,All,44,65,80,94,106.75,120,134,146,156,167,181,193.8,205,218,239,261.2,284,314,363.1
LSHTM,12,10,2022,20,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,170.5,All,45,68,83,96,107,122,137,150,159,170.5,183.45,198,213,227,244,270,292.15,325,372.05
LSHTM,12,10,2022,21,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,173.5,All,47.95,67,86,98.8,113,123.7,137,151,163,173.5,188.45,202,217.35,233,251,275.2,296.45,328,386.15
LSHTM,12,10,2022,22,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,178,All,47,70.9,86,102,115,128,139,152.6,167,178,191.45,207,225,242,258,279,309.15,338.2,398.05
LSHTM,12,10,2022,23,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,183,All,48,67,86,101,116,128,143,154.6,168,183,197,211,227,246.3,266,286.2,316.3,347,396
LSHTM,12,10,2022,24,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,184.5,All,49,70.9,84,102,118.75,133,143.3,156.6,170,184.5,200,211.4,229,248,268,287,314.15,350.1,405.1
LSHTM,12,10,2022,25,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,185,All,52,73,89.85,105.8,117,132,144.65,158,172.55,185,198,213.4,232,250,268,289,321,362,403.05
LSHTM,12,10,2022,26,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,186,All,49.95,71,88.85,103,118,132,144,156,173,186,199,215.4,230,247.3,268,290,314,348.1,408.15
LSHTM,12,10,2022,27,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,188,All,50.95,69.9,89.85,104,120.5,132,145,159,173,188,201.45,216.4,232,250,268.25,288.4,316.15,359.1,408.05
LSHTM,12,10,2022,28,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,187,All,49,74,89,105,120,135,148,161,174,187,201.45,219,236.35,251,268.25,292,321,361.4,409.15
LSHTM,12,10,2022,29,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,190,All,49.95,72,88.85,103.8,122,134,148,164,176,190,204,221,236,254,275,298,327.15,362.1,418.05
LSHTM,12,10,2022,30,11,2022,East of England,mv_prev,EpiNow,MTP,Cases,2.0,188,All,51,73.9,91.85,107.8,122,135,150,160,173,188,205,222.4,238.7,260,280,298.2,324.3,372,425.1
