Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,17,1,2023,17,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,19,All,10,12,13,14,15,16,17,18,18,19,19,20,21,21,22,23,24,25.1,28
LSHTM,17,1,2023,18,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,18,All,10,11,13,13,14,15,16,17,17.55,18,19,20,20.35,21,22,23,24,25,27
LSHTM,17,1,2023,19,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,18,All,9,11,12,13,14,15,16,17,17,18,19,19,20,21,22,23,24,25,27
LSHTM,17,1,2023,20,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,17,All,8,9,11,12,13,13,14,15,16,17,17,18,19,20,21,21,23,24,26
LSHTM,17,1,2023,21,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,17,All,7,9,11,11,13,13,14,15,16,17,17,18,19,20,20,21,23,24,26
LSHTM,17,1,2023,22,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,16,All,6,8,9,10.8,12,13,13.65,14.6,15,16,17,17,18,19,20,21,22,23,25
LSHTM,17,1,2023,23,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,15,All,5,7,9,10,11,12,13,14,15,15,16,17,18,19,20,21,22,24,26
LSHTM,17,1,2023,24,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,15,All,4,6,8,9,10,11,12,13,14,15,16,17,17,18,19,20,22,23,26
LSHTM,17,1,2023,25,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,15,All,3,6,7,9,10,11,12,13,14,15,15,16,17,18,19,20,21,23.1,26
LSHTM,17,1,2023,26,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,14,All,3,5,7,8,10,11,11,12,13,14,15,16,17,18,19,20,21,23,25
LSHTM,17,1,2023,27,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,14,All,2,4.90000000000001,6,8,9,10,11,12,13,14,14,15,16,17,18,19,20.15,22,24
LSHTM,17,1,2023,28,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,13,All,1,3,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24
LSHTM,17,1,2023,29,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,12.5,All,1,3,4,6,7,9,10,11,12,12.5,13.45,14,15,16,17,18,20,22,24
LSHTM,17,1,2023,30,1,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,12,All,1,2,4,5.80000000000001,7,8,9,10,11,12,13,14,15,16,17,19,20,22,24
