Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,14,3,2023,14,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,6,All,2,2,3,4,4,4,5,5,5,6,6,7,7,8,8,9,10,11,12
LSHTM,14,3,2023,15,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,6,All,1,2,2,3,4,4,4.64999999999998,5,5,6,6,7,7,8,8,9,10,11,13
LSHTM,14,3,2023,16,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,6,All,1,2,2,3,3,4,4.64999999999998,5,5,6,6,7,7,8,8,9,10,11,13
LSHTM,14,3,2023,17,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,5,All,1,1,2,2,3,3,4,4,5,5,5,6,6,7,8,9,10,11,13
LSHTM,14,3,2023,18,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,5,All,0.950000000000003,1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,9,10,12
LSHTM,14,3,2023,19,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,4,All,0,1,2,2,2,3,3,4,4,4,5,5,6,6.29999999999996,7,8,9,10,13
LSHTM,14,3,2023,20,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,4,All,0,1,1,2,2,3,3,4,4,4,5,5,6,6,7,8,9,10,12
LSHTM,14,3,2023,21,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,4,All,0,1,2,2,2,3,3,3,4,4,5,5,6,7,7,8,9,11,13
LSHTM,14,3,2023,22,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,4,All,0,1,1,2,2,3,3,3,4,4,5,5,6,6,7,8,9,11,13
LSHTM,14,3,2023,23,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,4,All,0,1,1,2,2,3,3,3,4,4,5,5,6,7,7,8,9,11,14
LSHTM,14,3,2023,24,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,4,All,0,1,1,1,2,2,2,3,3,4,4,5,5,6,7,8,9,10,13
LSHTM,14,3,2023,25,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,3,All,0,0,1,1,2,2,2,2,3,3,4,4,5,5,6,7,8,10,13
LSHTM,14,3,2023,26,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,3,All,0,1,1,1,2,2,2,3,3,3,4,4,5,5.29999999999996,6,7,8,10,13
LSHTM,14,3,2023,27,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,3,All,0,1,1,1,2,2,2,3,3,3,4,4,5,6,6,7,9,10,13
LSHTM,14,3,2023,28,3,2023,East of England,mv_prev,EpiNow,MTP,Cases,2.0,4,All,0,1,1,1,2,2,2,3,3,4,4,5,5,6,7,8,9,10,13.05
