region,variable,mean,se_mean,sd,lower_95,lower_90,lower_80,lower_70,lower_60,lower_50,lower_40,lower_30,lower_20,lower_10,median,upper_10,upper_20,upper_30,upper_40,upper_50,upper_60,upper_70,upper_80,upper_90,upper_95
East of England,delay_mean[1],2.65056474417725,0.00168889187426487,0.0517380310137893,2.53583788872314,2.55492206407529,2.57772179713144,2.59608951350163,2.60963204075686,2.62072779601726,2.62867809498305,2.63699851082571,2.64433463560915,2.650200387751,2.65596252832154,2.66200409643482,2.66815624563973,2.67446206072646,2.679883542197,2.68644373369457,2.69274451286213,2.70081341604275,2.71045977460186,2.72575799131387,2.74120462716894
East of England,delay_sd[1],0.080185228355971,0.0016890904483794,0.051811236229796,0.00589351329523219,0.0105597846387396,0.0188825323924652,0.0261201096627085,0.0327759514405213,0.0392850181238072,0.0456096792846093,0.0514215409421621,0.0580774911368335,0.0648167013273031,0.0720852908437612,0.07957329743968,0.0861720963467177,0.0945448966328262,0.103595583685742,0.114055559059207,0.124860169466705,0.137536812095269,0.15446439173818,0.177005982426077,0.196978164523488
East of England,frac_obs[1],0.0307778872588998,2.36911770645117e-05,0.00111696942404184,0.028670712437313,0.0290022156999087,0.0293502011483822,0.0296109893101861,0.029814577691695,0.0299905401278778,0.0301676115277502,0.0303331799138763,0.0304708054774733,0.0306116280259782,0.0307724208870244,0.0309061038646946,0.0310784367310602,0.0312155869282401,0.0313916593408732,0.0315403162189623,0.0317301274048683,0.0319528677876327,0.0322167828565053,0.0326107755280285,0.0329436284542377
East of England,rep_phi[1],0.00224060205432564,1.66854355086057e-05,0.000813737598154793,0.000827585418708704,0.000993133707009749,0.00120604399483343,0.00138914609896822,0.00153444072321485,0.00167236088236097,0.00177723093731209,0.00188176829953495,0.00198452547855615,0.0020865936428187,0.00218396257804565,0.00228846382432926,0.00240635419197763,0.00251859525149153,0.00263144922010865,0.00276827485819419,0.00291489528810246,0.00308566512565613,0.00332762000051304,0.00367921396883721,0.0039859061150893
England,delay_mean[1],2.57926943530794,0.00113105994696155,0.047178061431166,2.48580123044854,2.50006070181325,2.51651847840259,2.52876938172077,2.53892454711551,2.5465920362058,2.55441299968864,2.5605303560041,2.56653329219082,2.57324162372027,2.58031976741233,2.586063327188,2.59231420656213,2.59849792428765,2.60493506740547,2.61246092706582,2.61960454934819,2.62903870665303,2.64116158336485,2.65646766620331,2.67072173791171
England,delay_sd[1],0.127322390603564,0.00127524859951532,0.0483957612432478,0.0357881354034549,0.046993048425114,0.0633745664016169,0.075295119974513,0.0837161772873975,0.092493871483324,0.100471653897908,0.107298466313472,0.113945416198627,0.120955195165521,0.12728616117878,0.133882588996631,0.139868006721139,0.146434094530923,0.153221755713185,0.160661899052391,0.169016407415619,0.178775706447779,0.191070429484528,0.2096102090468,0.221612423475186
England,frac_obs[1],0.0399904351980862,1.50675423269196e-05,0.000929094301404085,0.0381930664374991,0.0384770377736371,0.0387989840893872,0.0390338771822465,0.0392027290125651,0.0393606044827141,0.0394981470801202,0.0396216661568005,0.0397398532980913,0.0398570699555777,0.0399929092693612,0.0401053634855143,0.0402343700774148,0.0403604259603123,0.0404846579262355,0.0406068203311921,0.0407553416182292,0.0409364441522793,0.0411563882236882,0.0415244208087093,0.0418821617409666
England,rep_phi[1],0.00094259074924596,4.69983764702724e-06,0.000257919595783885,0.000458040654549324,0.000531411229967836,0.000614667482182303,0.000672327939101971,0.000720793621228151,0.000764898687157642,0.000804614446636672,0.000838111799827512,0.000874225543865028,0.000903564076933104,0.000934828375736845,0.000966725798886539,0.000996061892956581,0.00103520915822462,0.00107541819152909,0.00111472934242059,0.00115477924831043,0.00120759715085851,0.00128578389359296,0.00138474964480229,0.00146387000416828
London,delay_mean[1],2.06699330130814,0.00516359344861869,0.278550410950744,1.53120628882016,1.60717117720158,1.70665976884277,1.77750248195251,1.83299810435241,1.87789465573978,1.91982025082208,1.95940500724426,1.99525792325938,2.03019246624334,2.06628425324236,2.10165316046472,2.13540775084477,2.17419375265314,2.21525480885674,2.25544701624325,2.30014334314655,2.35897764700225,2.42468423440727,2.51481479681169,2.60207076209542
London,delay_sd[1],0.89052635379155,0.0074935553692374,0.317421927537629,0.203570630862328,0.319511699989305,0.465314696245483,0.566649500817362,0.633314877132672,0.690397866822462,0.739600690173791,0.786194955455512,0.830781314481511,0.872411688206761,0.905443025111567,0.942678391647704,0.980432971415613,1.0193837806567,1.0596752196364,1.10504949410707,1.1589079236315,1.21408690622091,1.28289677138722,1.38619206658328,1.48259534603665
