region,variable,mean,se_mean,sd,lower_95,lower_90,lower_80,lower_70,lower_60,lower_50,lower_40,lower_30,lower_20,lower_10,median,upper_10,upper_20,upper_30,upper_40,upper_50,upper_60,upper_70,upper_80,upper_90,upper_95
East of England,delay_mean[1],3.89534997214629,0.0106966438997979,0.38353661857036,3.18535163156294,3.28860312412807,3.4130549964595,3.49991745152676,3.56823997375057,3.63277318783957,3.68814402126436,3.73942848193053,3.78763492514007,3.83628919992232,3.87950492395172,3.93161259301786,3.9760771133463,4.02498153468282,4.08270056886176,4.13685431609248,4.20958517156077,4.28248902946643,4.38903600107452,4.54706085076547,4.70288807059494
East of England,delay_sd[1],1.09899498417891,0.00449621016109992,0.199515566680117,0.718278229629963,0.778338552290488,0.856182913459997,0.903506289272059,0.938025204185367,0.971141811326093,0.99710134346983,1.02083858818945,1.04453157689325,1.06766334519403,1.09073849568718,1.11640302270537,1.13909693707539,1.16503181503704,1.19360578472072,1.22881811039049,1.25793611713758,1.30178142969018,1.35304476066694,1.43708307472462,1.51482516244692
East of England,frac_obs[1],0.0367797813101089,3.00730056052062e-05,0.00131799861169127,0.0341991459406182,0.0346676230040684,0.0350848402552472,0.0354082118165899,0.0356599154078307,0.0358963331773374,0.0360928223933774,0.0362667851018362,0.03644157838306,0.0366184498254978,0.0367833492639407,0.0369623442120466,0.0371346313575476,0.0372920849999401,0.0374559968769668,0.0376368258346661,0.0378724447522539,0.0381341566915915,0.0384411532996293,0.0389858880254725,0.0394212322456537
East of England,rep_phi[1],0.00281966673866053,0.00121051814490272,0.00256992225362435,6.8907033252262e-10,1.67883365922572e-09,3.62382395938901e-09,5.59506638177135e-09,7.69019506375365e-09,2.94959675867542e-05,0.000692958177154456,0.00115829459737846,0.00157389162260973,0.00198385508647325,0.00244829187004809,0.00288843355394514,0.00330492049878478,0.00372449072137077,0.00416599355404076,0.00465487951963288,0.00520734722453186,0.0057723081775591,0.00643476348837917,0.00751080569400952,0.00837974330115589
England,delay_mean[1],3.8918830548224,0.0775664117579893,0.373204485984233,3.17302216677136,3.2993491690004,3.42511704270801,3.50717027800844,3.57956816577701,3.63806964765001,3.69193817737722,3.74156024888038,3.79529970505023,3.83954620048791,3.88031713896246,3.92633157855612,3.97498959222841,4.02528656648243,4.07923585063119,4.13357847607178,4.20519590753262,4.2817819797139,4.37387612090292,4.50353252391498,4.6096063373642
England,delay_sd[1],1.29614260286502,0.115027489539156,0.241080179126071,0.847883509481301,0.917756610379625,0.993452042522705,1.03847868152244,1.08045475281552,1.11717463253604,1.15401985601935,1.18649684474059,1.21744714133608,1.25421057579802,1.28951973104058,1.32255637479909,1.35487194290798,1.39177991680414,1.43290819218701,1.47890756446618,1.51809550770313,1.5663828084315,1.63097635896614,1.69841509270704,1.74692262483043
England,frac_obs[1],0.0457482099649425,0.00118806812355637,0.00201818863730439,0.042456115055095,0.0429070042608879,0.04343429571619,0.0437930745296723,0.0440802620567885,0.044299142853028,0.0445214942880544,0.0447333358002863,0.044937107138232,0.0451362341537874,0.0453660286081573,0.0455827427418893,0.045848981983284,0.0461522422887605,0.0465230508017699,0.0471161026683239,0.0477543121259074,0.0482304411807791,0.0488529264944841,0.0495055098826085,0.0499826654285526
England,rep_phi[1],0.00148481626969113,0.000633795610729335,0.00118356043514167,9.87907044678624e-10,1.80744269005061e-09,3.85794254321414e-09,5.78416820269395e-09,7.95013118860901e-09,4.75448337948364e-05,0.000602072633793151,0.000897222474373338,0.00116122552609481,0.00133556389513148,0.00150253303428666,0.0016652660687447,0.00184790753128533,0.00200003115147309,0.00217953803675037,0.00234689007539206,0.00253033074781235,0.00276593049548877,0.00304791059174969,0.00346244336812884,0.00382091169776865
London,delay_mean[1],3.75738497447176,0.00608364670509182,0.370015265332138,3.09579975239962,3.1817461396549,3.29306651595528,3.36788637074442,3.43153111692178,3.49158184882826,3.54614777372824,3.59770164424743,3.65190707998738,3.69646045633161,3.74188785943516,3.78817347446897,3.83372032507339,3.8874331084539,3.94848672135065,4.00582873105085,4.07489314180331,4.15232740819587,4.24783413977271,4.37924810310852,4.50540288192232
London,delay_sd[1],0.960383565173974,0.0038692059319705,0.218159140145869,0.562853792968748,0.610075268507175,0.686426971179009,0.737874970792615,0.778731512856097,0.813817233672218,0.842971557804249,0.868541963816389,0.895896162543709,0.921139147847233,0.94858915620889,0.974560828464122,1.00630258952748,1.03822268367181,1.06781243497994,1.10250118330476,1.13976439421982,1.18710555630908,1.2479064393167,1.32560451930531,1.40469440978704
