Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,18,1,2021,18,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,396,All,288,310,326,340,350,359,369,378,387,396,405,414,422,434,445,460,476,501,536
LSHTM,18,1,2021,19,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,396,All,286,306,322,337,349,359,369,378,388,396,407,417,428,440,453,467,484,509,547
LSHTM,18,1,2021,20,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,358,All,254,274,288,301,312,321,332,340,349,358,368,378,390,401,414,429,444,465,500
LSHTM,18,1,2021,21,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,335,All,229,249,264,279,290,299,307,316,326,335,343,352,363,373,385,399,417,438,471
LSHTM,18,1,2021,22,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,287,All,197,214,227,237,245,255,263,270,279,287,295,303,312,322,334,347,362,382,416
LSHTM,18,1,2021,23,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,294,All,190,210,224,237,247,256,266,275,285,294,303,313,322,332,343,356,371,396,430
LSHTM,18,1,2021,24,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,327,All,212,235,248,261,273,284,296,306,316,327,337,347,358,371,383,398,416,443,486
LSHTM,18,1,2021,25,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,336,All,214,235,250,265,279,291,302,314,324,336,347,359,372,386,400,418,439,467,515
LSHTM,18,1,2021,26,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,338,All,208,235,253,267,280,293,304,316,327,338,352,364,375,389,405,423,446,478,525
LSHTM,18,1,2021,27,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,304,All,185,208,223,236,248,259,270,282,293,304,316,327,339,352,367,385,406,438,479
LSHTM,18,1,2021,28,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,278,All,165,186,200,214,225,236,247,258,269,278,290,303,315,327,343,358,376,404,444
LSHTM,18,1,2021,29,1,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2,243,All,139,159,172,184,196,205,214,224,233,243,253,263,272,283,295,309,330,353,390
