Group,Scenario,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,Value Type,Model,Value,1st centile,5th centile,25th centile,75th centile,95th centile,99th centile
LSHTM,Forecast,9,4,2020,9,4,2020,East of England,hosp_inc,Branching process,203,68.99000000000001,114,169,240,316.0499999999993,424
LSHTM,Forecast,9,4,2020,10,4,2020,East of England,hosp_inc,Branching process,217,12.990000000000009,83.95000000000005,168,272,388,524.0100000000002
LSHTM,Forecast,9,4,2020,11,4,2020,East of England,hosp_inc,Branching process,229,0,64,165,302,455,635
LSHTM,Forecast,9,4,2020,12,4,2020,East of England,hosp_inc,Branching process,241,0,45,163,331,514.0499999999993,743.0200000000004
LSHTM,Forecast,9,4,2020,13,4,2020,East of England,hosp_inc,Branching process,253,0,18,159,358,580,822.0100000000002
LSHTM,Forecast,9,4,2020,14,4,2020,East of England,hosp_inc,Branching process,261,0,0,152,384.25,659,974.0200000000004
LSHTM,Forecast,9,4,2020,15,4,2020,East of England,hosp_inc,Branching process,274,0,0,151,414,752.0499999999993,1151.0200000000004
LSHTM,Forecast,9,4,2020,16,4,2020,East of England,hosp_inc,Branching process,286,0,0,142,462,854,1330
LSHTM,Forecast,9,4,2020,17,4,2020,East of England,hosp_inc,Branching process,292,0,0,134,483,976,1672.0100000000002
LSHTM,Forecast,9,4,2020,18,4,2020,East of England,hosp_inc,Branching process,305,0,0,131,527,1061,1803.050000000001
LSHTM,Forecast,9,4,2020,19,4,2020,East of England,hosp_inc,Branching process,315,0,0,124,566,1223,2236.140000000003
LSHTM,Forecast,9,4,2020,20,4,2020,East of England,hosp_inc,Branching process,327,0,0,106,603,1390,2595.0200000000004
LSHTM,Forecast,9,4,2020,21,4,2020,East of England,hosp_inc,Branching process,338,0,0,101,656.25,1550.0499999999993,3070.2900000000063
LSHTM,Forecast,9,4,2020,22,4,2020,East of England,hosp_inc,Branching process,350,0,0,95,697,1763.199999999997,3545.3100000000068
LSHTM,Forecast,9,4,2020,9,4,2020,England,hosp_inc,Branching process,2587,1203.98,1680.95,2226.75,2963,3678.149999999998,4759.030000000001
LSHTM,Forecast,9,4,2020,10,4,2020,England,hosp_inc,Branching process,2610,541.96,1272.9,2092,3176,4262,5626.060000000001
