Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Version,Value,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,17,8,2020,17,8,2020,East of England,death_inc_line,EpiSoon,2,4,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7,7,8,10
LSHTM,17,8,2020,18,8,2020,East of England,death_inc_line,EpiSoon,2,3,1,1,1,2,2,2,3,3,3,3,4,4,5,5,5,6,7,7,9
LSHTM,17,8,2020,19,8,2020,East of England,death_inc_line,EpiSoon,2,4,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,7,8,9
LSHTM,17,8,2020,20,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,3,3,3,3,4,4,5,5,6,6,7,8
LSHTM,17,8,2020,21,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,2,2,2,2,3,3,3,4,4,5,5,5,6,7,8,9
LSHTM,17,8,2020,22,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,7,9
LSHTM,17,8,2020,23,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,7,8
LSHTM,17,8,2020,24,8,2020,East of England,death_inc_line,EpiSoon,2,4,0,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7,8,10
LSHTM,17,8,2020,25,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,7,8
LSHTM,17,8,2020,26,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,6,6,7,9
LSHTM,17,8,2020,27,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,2,3,3,3,3,4,4,4,5,6,7,8
LSHTM,17,8,2020,28,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,7,9
LSHTM,17,8,2020,29,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,8
LSHTM,17,8,2020,30,8,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,6,8
LSHTM,17,8,2020,31,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,6,6,7,10
LSHTM,17,8,2020,1,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,6,8
LSHTM,17,8,2020,2,9,2020,East of England,death_inc_line,EpiSoon,2,3,0,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,6,7,9
LSHTM,17,8,2020,3,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,1,2,2,2,3,3,3,3,4,4,5,6,8
LSHTM,17,8,2020,4,9,2020,East of England,death_inc_line,EpiSoon,2,3,0,0,1,1,1,1,2,2,2,3,3,3,4,4,4,5,6,7,9
LSHTM,17,8,2020,5,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,4,5,6,8
LSHTM,17,8,2020,6,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,6,8
LSHTM,17,8,2020,7,9,2020,East of England,death_inc_line,EpiSoon,2,3,0,0,1,1,1,2,2,2,2,3,3,3,4,4,5,5,6,7,10
LSHTM,17,8,2020,17,8,2020,England,death_inc_line,EpiSoon,2,34,18,21,23,25,26,28,29,31,32,34,35,37,39,41,43,45,48,51,57
LSHTM,17,8,2020,18,8,2020,England,death_inc_line,EpiSoon,2,34,19,22,24,26,27,28,30,31,33,34,36,37,39,41,42,45,48,52,57
LSHTM,17,8,2020,19,8,2020,England,death_inc_line,EpiSoon,2,32,17,20,22,24,25,27,28,30,31,32,34,35,37,38,41,42,45,49,56
LSHTM,17,8,2020,20,8,2020,England,death_inc_line,EpiSoon,2,33,17,20,22,23,25,26,28,30,31,33,34,36,38,39,41,43,46,50,55
LSHTM,17,8,2020,21,8,2020,England,death_inc_line,EpiSoon,2,32,16,19,21,23,25,27,28,29,31,32,33,35,36,38,40,42,45,49,54
LSHTM,17,8,2020,22,8,2020,England,death_inc_line,EpiSoon,2,29,15,17,19,21,22,23,25,26,27,29,30,32,33,35,37,39,42,46,51
LSHTM,17,8,2020,23,8,2020,England,death_inc_line,EpiSoon,2,29,14,17,19,20,22,23,25,26,27,29,30,32,33,35,37,39,41,45,51
LSHTM,17,8,2020,24,8,2020,England,death_inc_line,EpiSoon,2,29,14,17,19,21,22,24,25,26,28,29,30,32,33,35,37,39,42,46,51
LSHTM,17,8,2020,25,8,2020,England,death_inc_line,EpiSoon,2,30,14,17,19,21,22,24,25,27,28,30,31,33,34,36,38,40,43,47,52
LSHTM,17,8,2020,26,8,2020,England,death_inc_line,EpiSoon,2,28,12,15,18,19,21,23,24,25,26,28,29,31,32,34,36,39,41,44,50
LSHTM,17,8,2020,27,8,2020,England,death_inc_line,EpiSoon,2,28,13,16,18,20,21,22,24,25,26,28,29,30,32,34,36,38,41,45,51
LSHTM,17,8,2020,28,8,2020,England,death_inc_line,EpiSoon,2,27,13,15,17,18,20,21,23,24,26,27,28,30,32,33,36,38,40,45,52
LSHTM,17,8,2020,29,8,2020,England,death_inc_line,EpiSoon,2,25,11,14,16,17,19,20,21,23,24,25,26,28,29,30,32,34,37,40,48
LSHTM,17,8,2020,30,8,2020,England,death_inc_line,EpiSoon,2,24,11,13,15,16,18,19,21,22,23,24,26,27,28,30,32,34,37,41,47
LSHTM,17,8,2020,31,8,2020,England,death_inc_line,EpiSoon,2,25,10,13,15,17,18,20,21,22,23,25,26,27,29,30,33,35,38,42,51
LSHTM,17,8,2020,1,9,2020,England,death_inc_line,EpiSoon,2,26,10,14,16,17,19,21,22,23,24,26,27,29,30,32,34,37,40,45,53
LSHTM,17,8,2020,2,9,2020,England,death_inc_line,EpiSoon,2,24,9,12,14,16,17,19,20,22,23,24,26,27,29,30,32,34,37,41,48
LSHTM,17,8,2020,3,9,2020,England,death_inc_line,EpiSoon,2,24,10,12,14,16,17,18,20,21,23,24,26,27,28,30,32,34,38,41,50
LSHTM,17,8,2020,4,9,2020,England,death_inc_line,EpiSoon,2,23,9,12,14,15,17,18,19,21,22,23,25,26,27,29,31,34,36,41,49
