Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Version,Value,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,24,8,2020,24,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,7,7,9
LSHTM,24,8,2020,25,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7,9
LSHTM,24,8,2020,26,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7,9
LSHTM,24,8,2020,27,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,7,8
LSHTM,24,8,2020,28,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7,9
LSHTM,24,8,2020,29,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5,6,7
LSHTM,24,8,2020,30,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,5,5,6,7
LSHTM,24,8,2020,31,8,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,7,8
LSHTM,24,8,2020,1,9,2020,East of England,death_inc_line,EpiSoon,2,3,0,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,6,6,8
LSHTM,24,8,2020,2,9,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,6,7,8
LSHTM,24,8,2020,3,9,2020,East of England,death_inc_line,EpiSoon,2,3,0,0,1,1,1,2,2,2,2,3,3,3,3,4,4,5,5,6,8
LSHTM,24,8,2020,4,9,2020,East of England,death_inc_line,EpiSoon,2,3,0,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,6,7,8
LSHTM,24,8,2020,5,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,6,7
LSHTM,24,8,2020,6,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,2,2,2,2,2,3,3,3,4,4,5,6,7
LSHTM,24,8,2020,7,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,6,8
LSHTM,24,8,2020,8,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,2,2,2,2,2,3,3,3,4,4,5,6,7
LSHTM,24,8,2020,9,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,6,8
LSHTM,24,8,2020,10,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,7
LSHTM,24,8,2020,11,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,6,8
LSHTM,24,8,2020,12,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,6,7
LSHTM,24,8,2020,13,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,7
LSHTM,24,8,2020,14,9,2020,East of England,death_inc_line,EpiSoon,2,2,0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,5,6,8
LSHTM,24,8,2020,24,8,2020,England,death_inc_line,EpiSoon,2,30,14,17,19,21,23,24,26,27,29,30,31,33,35,36,38,40,44,47,53
LSHTM,24,8,2020,25,8,2020,England,death_inc_line,EpiSoon,2,30,14,17,19,21,23,24,26,27,29,30,32,34,35,37,39,42,44,48,55
LSHTM,24,8,2020,26,8,2020,England,death_inc_line,EpiSoon,2,28,13,16,18,19,21,22,24,25,26,28,29,31,33,35,37,39,42,46,52
LSHTM,24,8,2020,27,8,2020,England,death_inc_line,EpiSoon,2,28,12,15,17,19,20,22,24,25,27,28,30,31,33,35,37,39,42,45,51
LSHTM,24,8,2020,28,8,2020,England,death_inc_line,EpiSoon,2,27,11,14,16,18,19,21,23,24,26,27,29,30,32,34,36,38,40,44,52
LSHTM,24,8,2020,29,8,2020,England,death_inc_line,EpiSoon,2,25,10,12,14,16,18,19,20,22,23,25,26,28,30,31,33,35,38,41,47
LSHTM,24,8,2020,30,8,2020,England,death_inc_line,EpiSoon,2,25,9,11,13,16,17,19,20,22,23,25,26,28,29,31,33,35,37,41,48
LSHTM,24,8,2020,31,8,2020,England,death_inc_line,EpiSoon,2,24,8,11,14,15,17,18,20,21,23,24,26,27,29,30,32,35,37,40,46
LSHTM,24,8,2020,1,9,2020,England,death_inc_line,EpiSoon,2,24,8,11,13,14,16,18,20,21,23,24,26,28,29,31,34,36,40,44,50
LSHTM,24,8,2020,2,9,2020,England,death_inc_line,EpiSoon,2,23,7,10,12,14,15,17,18,20,21,23,24,26,27,29,31,34,36,40,47
LSHTM,24,8,2020,3,9,2020,England,death_inc_line,EpiSoon,2,23,6,9,11,13,15,17,18,20,21,23,24,26,27,29,31,33,36,40,47
LSHTM,24,8,2020,4,9,2020,England,death_inc_line,EpiSoon,2,22,7,9,11,13,14,16,18,19,20,22,23,25,27,29,31,33,36,41,46
LSHTM,24,8,2020,5,9,2020,England,death_inc_line,EpiSoon,2,20,5,7,9,11,13,14,16,17,19,20,21,23,24,26,28,30,33,36,42
LSHTM,24,8,2020,6,9,2020,England,death_inc_line,EpiSoon,2,20,5,7,9,10,12,14,16,17,19,20,21,23,25,26,28,31,34,37,43
LSHTM,24,8,2020,7,9,2020,England,death_inc_line,EpiSoon,2,20,4,7,9,10,12,14,15,17,18,20,21,23,24,26,28,30,34,37,45
