Group,Scenario,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,Value Type,Model,Value,1st centile,5th centile,25th centile,75th centile,95th centile,99th centile
LSHTM,Forecast,12,4,2020,12,4,2020,East of England,hosp_inc,Branching process,200,70,116,168,235,311,411.0100000000002
LSHTM,Forecast,12,4,2020,13,4,2020,East of England,hosp_inc,Branching process,207,17.99000000000001,84,161,259,367,487
LSHTM,Forecast,12,4,2020,14,4,2020,East of England,hosp_inc,Branching process,212,0,61,155,278,416,594.0100000000002
LSHTM,Forecast,12,4,2020,15,4,2020,East of England,hosp_inc,Branching process,215,0,37,147,293,464,648.0300000000007
LSHTM,Forecast,12,4,2020,16,4,2020,East of England,hosp_inc,Branching process,218,0,6,141,309,512,730.0100000000002
LSHTM,Forecast,12,4,2020,17,4,2020,East of England,hosp_inc,Branching process,223,0,0,135,325,566,878.0100000000002
LSHTM,Forecast,12,4,2020,18,4,2020,East of England,hosp_inc,Branching process,225,0,0,125,342,620,963.0100000000002
LSHTM,Forecast,12,4,2020,19,4,2020,East of England,hosp_inc,Branching process,227,0,0,118,357,680,1070.0100000000002
LSHTM,Forecast,12,4,2020,20,4,2020,East of England,hosp_inc,Branching process,228,0,0,110,372,748,1266
LSHTM,Forecast,12,4,2020,21,4,2020,East of England,hosp_inc,Branching process,228,0,0,100,391,832.0499999999993,1541.0300000000007
LSHTM,Forecast,12,4,2020,22,4,2020,East of England,hosp_inc,Branching process,228,0,0,89,403,901.0999999999985,1606.0200000000004
LSHTM,Forecast,12,4,2020,23,4,2020,East of England,hosp_inc,Branching process,229,0,0,84,424,980,1879.0700000000015
LSHTM,Forecast,12,4,2020,24,4,2020,East of England,hosp_inc,Branching process,233,0,0,71,446,1065.0499999999993,2297.190000000004
LSHTM,Forecast,12,4,2020,25,4,2020,East of England,hosp_inc,Branching process,230,0,0,66,464,1179.0999999999985,2531.230000000005
LSHTM,Forecast,12,4,2020,26,4,2020,East of England,hosp_inc,Branching process,234,0,0,61,492,1263.2999999999956,2789
LSHTM,Forecast,12,4,2020,27,4,2020,East of England,hosp_inc,Branching process,237,0,0,53,509,1465,3288.0600000000013
LSHTM,Forecast,12,4,2020,28,4,2020,East of England,hosp_inc,Branching process,240,0,0,46,532.25,1556.0499999999993,3863.100000000002
LSHTM,Forecast,12,4,2020,29,4,2020,East of England,hosp_inc,Branching process,231,0,0,31,551.25,1715.0499999999993,4591.330000000007
LSHTM,Forecast,12,4,2020,30,4,2020,East of England,hosp_inc,Branching process,238,0,0,28,595,1896.2499999999964,5272.410000000009
LSHTM,Forecast,12,4,2020,1,5,2020,East of England,hosp_inc,Branching process,237,0,0,20,608,2076.399999999994,5814.030000000001
LSHTM,Forecast,12,4,2020,2,5,2020,East of England,hosp_inc,Branching process,244,0,0,17,649,2383.0499999999993,7070.850000000019
LSHTM,Forecast,12,4,2020,12,4,2020,England,hosp_inc,Branching process,2428,1224.97,1623,2115,2758,3422.0499999999993,4783.220000000005
LSHTM,Forecast,12,4,2020,13,4,2020,England,hosp_inc,Branching process,2397,594.97,1235,1953,2884.25,3867.0999999999985,5389.100000000002
LSHTM,Forecast,12,4,2020,14,4,2020,England,hosp_inc,Branching process,2365,228.99,915,1806,2998,4270.049999999999,6321.190000000004
LSHTM,Forecast,12,4,2020,15,4,2020,England,hosp_inc,Branching process,2344,36.99000000000001,625.95,1681,3081.25,4637.0999999999985,7130.45000000001
LSHTM,Forecast,12,4,2020,16,4,2020,England,hosp_inc,Branching process,2304,0,337,1544,3161.25,4984.199999999997,7833.120000000003
