Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,21,9,2020,21,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,5,All,3,3,3,4,4,4,4,5,5,5,6,6,7,7,7,8,8,9,9
LSHTM,21,9,2020,22,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,8,All,4,5,5,5,6,6,7,7,7,8,8,9,9,10,10,11,12,12,13
LSHTM,21,9,2020,23,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,8,All,4,4,5,5,6,6,7,7,8,8,8,9,9,10,10,11,12,13,13
LSHTM,21,9,2020,24,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,10,All,5,6,6,7,7,7,8,8,9,10,10,11,11,12,13,14,15,16,17
LSHTM,21,9,2020,25,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,7,All,3,4,4,4,5,5,6,6,6,7,7,8,8,9,10,10,11,12,13
LSHTM,21,9,2020,26,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,7,All,4,4,4,5,5,6,6,6,7,7,8,8,9,9,10,11,11,12,13
LSHTM,21,9,2020,27,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,9,All,4,4,5,5,6,6,7,7,8,9,9,10,11,11,12,13,14,16,17
LSHTM,21,9,2020,28,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,7,All,3,3,4,4,5,5,6,6,6,7,7,8,8,9,10,10,11,12,14
LSHTM,21,9,2020,29,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,10,All,5,5,6,6,7,7,8,8,9,10,11,11,12,13,14,15,17,18,20
LSHTM,21,9,2020,30,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,10,All,5,5,6,6,7,8,8,9,9,10,11,12,13,14,15,16,18,20,22
LSHTM,21,9,2020,1,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,12,All,5,6,7,7,8,9,9,10,11,12,13,14,15,16,18,19,21,23,26
LSHTM,21,9,2020,2,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,9,All,4,4,4,5,5,6,6,7,8,9,9,10,11,12,13,14,16,18,20
LSHTM,21,9,2020,3,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,9,All,4,4,5,5,6,7,7,8,8,9,10,11,12,13,14,16,17,19,20
