Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,15,9,2020,15,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,5
LSHTM,15,9,2020,16,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,5,5
LSHTM,15,9,2020,17,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,3,All,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,5,5,6,6
LSHTM,15,9,2020,18,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5
LSHTM,15,9,2020,19,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4
LSHTM,15,9,2020,20,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,4,5,5
LSHTM,15,9,2020,21,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4
LSHTM,15,9,2020,22,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5
LSHTM,15,9,2020,23,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,6
LSHTM,15,9,2020,24,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,1,1,1,1,1,2,2,2,2,2,3,3,4,4,5,5,6,7
LSHTM,15,9,2020,25,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,4,5
LSHTM,15,9,2020,26,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,4,5
LSHTM,15,9,2020,27,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,5,6
LSHTM,15,9,2020,28,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,5
LSHTM,15,9,2020,29,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,5,6
LSHTM,15,9,2020,30,9,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,4,4,5,7
LSHTM,15,9,2020,1,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,6,8
LSHTM,15,9,2020,2,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,6
LSHTM,15,9,2020,3,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,5,6
LSHTM,15,9,2020,4,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,5,6
LSHTM,15,9,2020,5,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,5
LSHTM,15,9,2020,6,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,5,7
LSHTM,15,9,2020,7,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,5,7
LSHTM,15,9,2020,8,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,5,7,9
LSHTM,15,9,2020,9,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,4,5,6
LSHTM,15,9,2020,10,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,5,6
LSHTM,15,9,2020,11,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,5,7
LSHTM,15,9,2020,12,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,6
LSHTM,15,9,2020,13,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,5,7
LSHTM,15,9,2020,14,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,5,6,9
LSHTM,15,9,2020,15,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,2,All,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,4,5,7,10
LSHTM,15,9,2020,16,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,4,5,7
LSHTM,15,9,2020,17,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,5,7
LSHTM,15,9,2020,18,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,6,9
LSHTM,15,9,2020,19,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,4,5,8
LSHTM,15,9,2020,20,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,6,9
LSHTM,15,9,2020,21,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,4,5,7,10
LSHTM,15,9,2020,22,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,6,8,13
LSHTM,15,9,2020,23,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,4,6,8
LSHTM,15,9,2020,24,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,4,6,9
LSHTM,15,9,2020,25,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,5,6,10
LSHTM,15,9,2020,26,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,5,8
LSHTM,15,9,2020,27,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,5,7,10
LSHTM,15,9,2020,28,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,5,8,12
LSHTM,15,9,2020,29,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,6,9,15
LSHTM,15,9,2020,30,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,6,10
LSHTM,15,9,2020,31,10,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,6,10
LSHTM,15,9,2020,1,11,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,5,7,12
LSHTM,15,9,2020,2,11,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,6,10
LSHTM,15,9,2020,3,11,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,5,7,15
LSHTM,15,9,2020,4,11,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,6,8,14
LSHTM,15,9,2020,5,11,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,5,7,9,18
LSHTM,15,9,2020,6,11,2020,East of England,hospital_inc,EpiSoon,Deaths,2,1,All,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,6,12
