region,variable,mean,se_mean,sd,lower_95,lower_90,lower_80,lower_70,lower_60,lower_50,lower_40,lower_30,lower_20,lower_10,median,upper_10,upper_20,upper_30,upper_40,upper_50,upper_60,upper_70,upper_80,upper_90,upper_95
East of England,delay_mean[1],2.11429211611238,0.00536251655926276,0.250876908654789,1.63313241284037,1.7015634539919,1.78834262785749,1.85335862756381,1.9039614155687,1.94777079749,1.98229714708405,2.01795931144743,2.05335590139575,2.08491775145358,2.11473223595827,2.14800310151764,2.18153938806288,2.21127802549628,2.24492009267145,2.28565915025032,2.32156930146229,2.36994655791002,2.42788158643935,2.52200401047187,2.60610057048956
East of England,delay_sd[1],1.15063959696776,0.0127419029295923,0.516142084063561,0.191317462939494,0.302431789349578,0.469502675898827,0.594667724283407,0.694289418062997,0.780268356510617,0.866680094835284,0.936163259201255,1.00507049583201,1.07654081160704,1.1424132766198,1.20408740459354,1.27540932674971,1.34887621485434,1.4247584539858,1.50806698033097,1.59536140815569,1.69935812222584,1.81463163907221,2.02147615189396,2.18643459642472
East of England,frac_obs[1],0.989331407190352,0.000609149573930507,0.0278477993327813,0.935894027882963,0.943878458314407,0.953891190866519,0.961053680592032,0.966314055666073,0.970618660360299,0.974773939399471,0.978952647521958,0.982387697853348,0.985422722419945,0.989005721497437,0.992565077354122,0.996280810200691,0.999591155111752,1.00328697953722,1.00785533473386,1.01219047607328,1.01830426753614,1.02538557674847,1.0351968225139,1.04553446157545
England,delay_mean[1],2.28174591335023,0.00485858126469359,0.22846618406668,1.83059399343132,1.91461804188039,1.99782895459404,2.05043522475895,2.09447169242766,2.13050227656511,2.16146140677453,2.19178478157887,2.2227032994396,2.24932281346492,2.27868677783548,2.30345001545295,2.33278249362952,2.36218363046671,2.39284623038044,2.43027050336827,2.47137817893086,2.5216508933777,2.57529685205331,2.6606395761393,2.72358711444071
England,delay_sd[1],1.84390040736603,0.00526307152245861,0.248914600720586,1.3555089247907,1.43624060406424,1.52830462198512,1.59194560073731,1.64021980795082,1.6795535444351,1.71813521663862,1.74992808956219,1.78126390843559,1.8112494919297,1.84445145892025,1.87804900419845,1.90821517280331,1.93955673315997,1.9747835911565,2.01034956858523,2.04968544964882,2.0999276512053,2.15174384012395,2.24606542752691,2.33966152598667
England,frac_obs[1],0.998459672939812,0.000503837439558432,0.0272089157743986,0.945019281311796,0.95367255992407,0.964021377306189,0.970208050948973,0.975376629860649,0.979712522019132,0.984308321579313,0.987976774180236,0.991766720627107,0.994804017146581,0.998386585744758,1.00162871468381,1.00518073136889,1.00852127230712,1.01251129365452,1.01698797133923,1.0218538106892,1.02733067449333,1.03401419308263,1.04364596096194,1.05104986862071
London,delay_mean[1],2.28712796086325,0.00533129479868457,0.229132874419526,1.82488582002055,1.90733958215668,2.00285132183658,2.05944599137338,2.10243236411047,2.14078605319302,2.16843058224162,2.19546055535637,2.22616416150767,2.25546662323986,2.28312912832467,2.31203037316237,2.34376148576113,2.37600224310671,2.40542361610647,2.43955539008963,2.47865054773937,2.52645456954364,2.5919388826242,2.67259550303324,2.72703027118882
London,delay_sd[1],0.811352518191681,0.0126935273918481,0.488121519937421,0.0413320691979861,0.0984739032272182,0.204318244599152,0.288787324909019,0.3643935092002,0.431310089829182,0.502098294816072,0.570201427982238,0.631935681114466,0.699357768886388,0.768105073821766,0.825895993710352,0.889739653038018,0.96327333901685,1.04230251328481,1.13782797331802,1.23361551532762,1.33536007338882,1.47669004912726,1.67255174459603,1.87399570649738
London,frac_obs[1],0.996049084319191,0.000553314748508125,0.0266975224956764,0.944207735448116,0.953308812140227,0.961229759845343,0.968111415458628,0.973693793740871,0.978188495501064,0.982169342995449,0.985789463142536,0.989077199202003,0.992968446297316,0.996205478602367,0.999639001469947,1.00294704431805,1.0063078655682,1.01030716705617,1.01436616312135,1.0182665729519,1.02396260744401,1.02994556127873,1.0399317245101,1.04754960092053
Midlands,delay_mean[1],2.17167798846068,0.00637679732710224,0.285582737066328,1.62924559538969,1.71346168960222,1.81092556005519,1.87765519366991,1.93673589606764,1.98377510982632,2.01788248926011,2.06031458926923,2.09635631050956,2.13221149365329,2.17191891616613,2.2110158840224,2.24387699914479,2.2794464701574,2.31119046279989,2.35108544289557,2.39949516883853,2.45074445841317,2.52460544902981,2.64712232253097,2.75734911504218
Midlands,delay_sd[1],1.79564552685215,0.0227609141643422,0.694307219553697,0.326646811563849,0.501922210578997,0.874761939201919,1.08779663216176,1.23913205583549,1.36028178650891,1.46778471993502,1.56551173079951,1.65894193479975,1.73760556372005,1.81680317543993,1.90195031124338,1.98827552170424,2.07934135459182,2.16641872525559,2.25942100262895,2.35899084225617,2.48084643218845,2.66019501119963,2.89617636081629,3.13463661426806
Midlands,frac_obs[1],0.985017357497591,0.00053562218277315,0.026438258675773,0.934495978826378,0.942097657401272,0.951718815453934,0.957353157720488,0.962031508470948,0.966740339658346,0.970536943724972,0.974397278471386,0.977961933231988,0.981445736803256,0.984720519918351,0.988075276317636,0.991465333265766,0.995407845901008,0.998986461084807,1.00303630804947,1.00749050792195,1.01273956026802,1.01877872279642,1.02947599879628,1.03751066768788
North East and Yorkshire,delay_mean[1],2.00689971442303,0.00776579774789788,0.276992167386481,1.45797623676814,1.54050775810178,1.63753261951593,1.71324068676779,1.77006320118044,1.82486397000237,1.86885902078662,1.90815420067221,1.95001912151237,1.99047258629282,2.01950789978766,2.04923196036554,2.08020711061934,2.11262271990911,2.14679068130317,2.1879697941784,2.23394920250734,2.28106484169608,2.35055731130232,2.45407536479253,2.5348364354074
North East and Yorkshire,delay_sd[1],1.51651001689961,0.0265328081307596,0.695328780784456,0.0852039702197657,0.197426352795651,0.521945601012699,0.76460925598338,0.94108127095226,1.07711792048374,1.19339570573496,1.29231980767409,1.38072547353284,1.46033565785494,1.54572168129046,1.63642470416855,1.71161500446566,1.79507149201747,1.89096082458665,1.98886859464888,2.10123570199813,2.22165393984696,2.37758157829904,2.62614113196797,2.82201967289239
North East and Yorkshire,frac_obs[1],0.988149124812459,0.000712191534696497,0.0276664786100026,0.932853795113011,0.942833964920601,0.952845572973259,0.959294415839447,0.964593803950189,0.969245450507255,0.973668620664287,0.977556926967537,0.980898874487072,0.984701789621641,0.987930202909664,0.991617486811235,0.995280541942915,0.998985190514848,1.00285159431077,1.00713581525298,1.01231174082346,1.01718209770433,1.02390364484244,1.03385497753842,1.04162489817014
North West,delay_mean[1],2.16870262082064,0.00542730578730013,0.206829521494813,1.73698587900471,1.80902331957778,1.89305111381084,1.95195678686392,1.99349278643681,2.03527187245399,2.06852635556414,2.09899358570758,2.12974155853224,2.15616980327991,2.18168385146795,2.2061259581713,2.23040643020043,2.25388062869302,2.28144639607043,2.30718130163227,2.33976683698431,2.37510714149732,2.41817833196419,2.49406230024049,2.55048419257048
North West,delay_sd[1],0.920719544544442,0.0151289316379867,0.525398771962676,0.0742410679239016,0.120844452598913,0.232217578882994,0.350574093697518,0.455534096303425,0.544778436118636,0.614615081059557,0.675750507078899,0.74416752746884,0.813345244245246,0.876014322186291,0.948471087010709,1.01800054999558,1.08503612814463,1.16711537965067,1.25322484511743,1.35497498198569,1.46927854363453,1.62554350371842,1.86458835270848,2.05781668761486
North West,frac_obs[1],0.985699584482795,0.000575919515323448,0.0271735645927239,0.931774875382866,0.942100679239161,0.951634576986759,0.958181421894532,0.963274075929303,0.967637973369644,0.971959214451324,0.975270939057047,0.978397149855319,0.982143109248433,0.985162739699363,0.988497089809166,0.991914113403519,0.995833308952627,0.999813708056387,1.0043323352296,1.00854007874148,1.01378637394011,1.02009920086618,1.03088845536433,1.03921962339092
Northern Ireland,delay_mean[1],2.4593880687497,0.013681474754341,0.650015402848189,1.19460000575626,1.39522827426559,1.60907772426364,1.79011627521639,1.92001919874103,2.0288339701046,2.13374068508989,2.2268872847149,2.31403707420835,2.40012400862381,2.48205799734863,2.55973463993072,2.63147986047162,2.71008351923762,2.7912500104898,2.88753615524415,2.9927164464234,3.1150967640164,3.27692411800682,3.5269220167127,3.71028314506179
Northern Ireland,delay_sd[1],0.877063467926842,0.0114756981128611,0.435750206253843,0.127430983874103,0.20756650146993,0.319987381590613,0.410719927321952,0.486546898061264,0.551035466762551,0.610726861510198,0.673307612343788,0.731699499853368,0.790072098587373,0.850730614065718,0.908056961412437,0.968373035466021,1.04297728551108,1.10926557466507,1.17684609696798,1.25495426306611,1.34271831567462,1.45055607257188,1.62596927188853,1.78032575448839
Northern Ireland,frac_obs[1],0.997484279986204,0.000553919316664472,0.0269453484907419,0.944015076994484,0.953161400648391,0.963802158658235,0.969990064490246,0.97511993263779,0.97968238722764,0.983392730569225,0.986728215769135,0.990238593566446,0.993811855136509,0.997547656243198,1.00085067024836,1.0044548391321,1.00777606046755,1.01121379900705,1.01488724436219,1.01958364391473,1.02551825075399,1.03247494690685,1.04295189467915,1.05072719204193
South East,delay_mean[1],1.9075778956223,0.00751322092945075,0.312028212222171,1.28301414130907,1.39364756324295,1.50561495087484,1.58330176732897,1.64654831236036,1.7027934444315,1.75510291535636,1.79766950976317,1.83460096375258,1.87034083657802,1.90866758094361,1.94649784911502,1.983961639862,2.02639121018505,2.0733503914745,2.11457200628556,2.1630708075427,2.21685147258264,2.2881632496782,2.42450471043295,2.53308359108775
South East,delay_sd[1],1.77430309330201,0.0226855360664695,0.658238211199182,0.20058165044225,0.549097105346878,0.924802110960606,1.13583719420929,1.27948168102709,1.38352892570179,1.48645407042586,1.57465649042022,1.65912842776316,1.73053896108469,1.81447739540836,1.8903019131489,1.96197060351826,2.03244893652646,2.1129265503969,2.19572319939902,2.29009787063705,2.41029330749048,2.56039569547689,2.81554989584412,3.00947868181394
South East,frac_obs[1],0.984169901262765,0.000668933639785665,0.028522499882299,0.926715480883072,0.936403198057294,0.9464119642665,0.954296429185323,0.960412628139342,0.964984983099589,0.969129945864254,0.973084670362732,0.977038068144171,0.980789758733511,0.984925635507559,0.988651921827757,0.992410142338174,0.99658880631944,1.00025233939106,1.00393972123517,1.00791986081525,1.01373396235457,1.0203965733839,1.02971674494337,1.03922027537593
South West,delay_mean[1],1.6323413312497,0.00686673581681268,0.340292250515699,0.957154106554819,1.05780013251255,1.18698432094485,1.28440429806157,1.34985275985794,1.41545528974417,1.46040974679577,1.50559008934217,1.55245295134007,1.59236162423665,1.63726432612082,1.68152371754557,1.72453501405747,1.76461127649068,1.8125064395157,1.86090905392132,1.91728817328048,1.98735275989777,2.06607805410894,2.1825792325456,2.28275161371029
South West,delay_sd[1],1.80168491857012,0.0131974063824211,0.528435090191512,0.756619292717854,0.946403757517696,1.13977087256699,1.26051035231229,1.36556462660021,1.46150274950514,1.53187738279482,1.59889245510865,1.66420273951198,1.7373153458493,1.80471592807956,1.86643424030586,1.94078656661315,2.00393810234856,2.06952032542079,2.13980152787205,2.22882667035969,2.34348492916129,2.47401950890562,2.67490285807377,2.83565747666523
South West,frac_obs[1],0.990446912781107,0.000494409697124622,0.0268615440270457,0.93769432687703,0.946901480952395,0.956374933532165,0.962334358242336,0.967183932211111,0.971680364634465,0.975926770472625,0.979641832871325,0.983536781669311,0.987323702749345,0.990751721910299,0.993944126109314,0.997678472719502,1.0006641258792,1.00456395183382,1.0086638112132,1.01338381138766,1.0187608366384,1.02484997426848,1.03479386582525,1.04282711865378
Wales,delay_mean[1],4.04675885264572,0.0150185959629027,0.591698095807239,2.91082754965514,3.10682646853273,3.34620204207762,3.45467482562524,3.55596107053824,3.63368055301309,3.71357031413248,3.79100629295928,3.87621067974896,3.95242574244811,4.0233767681911,4.09537297380497,4.18194274774502,4.26361418465754,4.34850215365352,4.45089849444766,4.55040094068975,4.66960325693209,4.81568840853755,5.04145234512613,5.23973462423226
Wales,delay_sd[1],0.323459097849691,0.00678478246639526,0.252656092749941,0.0218520324602869,0.0391330969317577,0.0626140151669817,0.0828993188240835,0.104104195459916,0.126192741976287,0.146898705998686,0.166994214792519,0.191610426678946,0.220101121768439,0.251498354629697,0.288847817104088,0.331158356967973,0.374881081866108,0.421312121621976,0.472905532924301,0.530512052051344,0.592822026348201,0.681666066809122,0.820146527476387,0.945997646224631
Wales,frac_obs[1],0.997429671111444,0.000625491232958493,0.0266575335678488,0.944060644635854,0.953138784318141,0.962926289863425,0.969159099417568,0.974762667363763,0.979300589780702,0.983107116266516,0.986900984727187,0.99090931048947,0.994564761530113,0.997958645539005,1.00110646002154,1.00459006570904,1.00845677285194,1.01203845964619,1.01578638736342,1.02038944722027,1.02520986486667,1.03174640047049,1.0408110233138,1.04929443829255
